Genes	S:\Proteomics\CMB\CMB-1515\T063417_AurEl7_PM7_CMB-1515_9_GD6_1_10072.d	S:\Proteomics\CMB\CMB-1515\T063423_AurEl7_PM7_CMB-1515_6_GD3_1_10078.d	S:\Proteomics\CMB\CMB-1515\T063425_AurEl7_PM7_CMB-1515_5_GD2_1_10080.d	S:\Proteomics\CMB\CMB-1515\T063427_AurEl7_PM7_CMB-1515_4_GD1_1_10082.d	S:\Proteomics\CMB\CMB-1515\T063429_AurEl7_PM7_CMB-1515_3_GC8_1_10084.d	S:\Proteomics\CMB\CMB-1515\T063431_AurEl7_PM7_CMB-1515_2_GC7_1_10086.d
OGN	255580	198115	108395	134820	225634	17729.7
OLFML3	8522.97			10309.9		
ORM1		2383.32	11502	2138.13	7640.98	1289.18
P4HB	842.875	2029.13	707.403	3418.67	2181.06	1950.95
PACSIN2			3499.44			
PAFAH1B1	3716.96			4128.96	3339.76	2837.32
PALLD	10712.2	8511.32	18055.6	9908.23	23182.1	
PARK7	3379.24	4450.23	7088.86	5342.3	7783.41	6293.66
PARVA	13778				21162.8	
PCBP1	2982.2	3856.43	2026.67		3420.37	
PCMT1	6218.04					
PCOLCE	2768.69	3330.16	1616.67			
PDGFB	19421.3					
PDIA3	12749	21018.8	7135.35	9687.99	14025.9	
PDLIM1	12449.7	5998.17			20161.9	1819.32
PDLIM2	5948.92		6687.47	4410.66	7959.6	3109.98
PDLIM3	5318.59	5959.8	6059.45	2358.67	6713.2	1932.27
PDLIM5	15128	5186.47	9728.66	6782.46	14587.5	3389.83
PDLIM7	3993.15	5569.77	11121.3	8148.78	11486	3730.11
PEBP1	12126.7	9915.51	17286.7	14062.3	15659	9575.75
PEF1	726.225					
PFKP	5240.17				3413.3	
PFN1	34020.6	44105.7	44447.7	62203.9	46601.5	29907.9
PGK1	8104.61	11746.2	13932.9	11627.3	10004	7766.03
PHB2	7579.1	10530.5	6258.78	8647.77	9569.92	5026.17
PHGDH			1359.07	3715.61		
PICALM	3705.8	2397.79	2164.34		5300.37	
PIGR		45321.9	17267.9	55392.5	6704.89	10348.6
PIP	3755.45	38502.8	38486	34044.1	23238.9	142684
PITHD1		5094.3				
PKM	36118.5	41445.3	64886.1	40462.9	46494.8	30851.1
PKP1	9549.8	99301.4	108507	46798.6	61184.9	82002.9
PKP3			1887.34			1592.43
PLA2G2A	5803.46	3692.25			1228.45	
PLBD1		6992.06	8269.71	5121.47	3294.76	10647.2
PLEC	19766.5	14519.9	22155.9	14038	28933.9	9090.51
PLG	9458.53		8312.87		13198.2	
PLS3	1305.1	2242.39	2036.61	1122.74	2686.2	1089.35
PNP	2314.86	7327.14	7273.05	6150.48	6705.09	8872.84
PODN	3401.7					
POF1B	5035.81	22672.1	32365	21648.2	15646	24265.1
POSTN	97458.7	259655	116786	11125.1	259909	10147
PPIA	25487.6	24990.6	28515.1	29457.4	35167.4	16805.4
PPIB	3822.61	8040.43			4646.15	2961.6
PPP1R12A	2040.91		1158.54		849.657	
PPP1R14A	7221.78	1908.72	4041.03	5668.99	6337.71	2014.96
PPP2R1A	2261.34					
PRDX1	44207	123614	88342.5	55524.8	83034.6	67532.8
PRDX2	24641.5	49656.6	64921.8	49557.1	51782	50978
PRDX3	10510.9		8041.96		9807.96	6869.46
PRDX4	1834.8	2241.02	1842.84		1469.43	3167.88
PRDX6	16975.2	6336.48	4377.29	12583.2	8806.72	6053.62
PRELP	233414	60777.1	96634.5	98911.7	177850	19152.2
PRH2		5149.56	6085.59	3898.98		3895.71
PRKACB	993.843					
PRKDC	1609.98					
PRKG1	8639.22		6516.65		7545.9	2762.72
PRMT5		459.119	1160.2	1882.81		1180.96
PRNP	35453.5					
PRPH	19135					
PRSS1	1.68454e+06	4.07886e+06	2.37207e+06	5.63144e+06	3.54211e+06	3.44135e+06
PRSS23	1953.99		3091.34		3532.06	
PRSS3	483957	668388	466824	1.13656e+06	594480	606376
PRTN3		3244.2	5060.78			2942.84
PSMA1		13498.7	11542	9024.18	5439.87	17461.1
PSMA2		11243.5	11423.1		6559.67	11779.3
PSMA3	6298.88	13004	19921.6	11996.7	11405.1	20915.7
PSMA4	6260.75	17166.9	21500.5	21554.7	14855.1	32420
PSMA5	4314.32	13884.7	9925.1	15098.3	15522	27050.5
PSMA6	6789.01	23760.4	26044.6	19853.4	16957.9	36884
PSMA7		16654.1	12490.8		3810.62	24462.9
PSMB1	7058.14	14596.5	13601.7	14602.7	12384.7	29236.5
PSMB2	5356.14	9876.88	7113.65	5090.19	4367.83	15882.8
PSMB3	2562.87	6244.23	1470.95		3255.57	9380.69
PSMB4	5503.82	12564	11211.8	11852.2	10463.5	19782.3
PSMB5	2549.48	13471.6	16554.7	9098.25	9733.82	20943.7
PSMB6	5138.75	16840.3	28193.8	19663.3	23650	54884.2
PSMB7		6844.54	4977.02	6672.57	4191.66	12711.5
PSME1	3021.98	2072.63				
PTGDS	42484.6		6884.19	16267.6	5997.78	8813.45
PYGB	6498.96		3462.12	3964.14	2863.52	5438.92
PYGM		7803.59			1012.07	
QPCT		3634.07	5999.57		2688.54	4807.79
QSOX1		4935	7453.68	5617.83	3770.66	6545.65
RAB10	4574.8	1802.47	2198.22	1671.6	1601.36	2337.38
RAB15			9705.54			
RAB18				2059.25	1679.28	
RAB7A			2667.28	3377.28	1341.91	2104.1
RACK1	1889.65	2467.74	2451.91		3425.93	1400.17
RAN			1245.08	2112.6	1767.26	
RBM14	1711.05		2537.95		1241.08	
REEP5	4562.77		3886.05			
RNASE7	5639.23	21205.1	17722	15641.3	5298.73	37902.5
RO60		3620.23	2452.94	2169.8	2635.36	6887.01
RPL10	3942.95	5188.28	5625.72	7460.78	7462.04	
RPL11	2905.71	3950.15	2845.64	4240.3	2463.65	
RPL12	8443.55	5126.25	2613.12		6956.1	5020.55
RPL13	4117.27		4318.65	4832.67	1985.6	
RPL14	4316.17		2362.73	2661.52	2795.93	2042.34
RPL18	5749.61	6528.55	5225.05		5205.74	1321.55
RPL21	2027.18					
RPL22	8933.26	7648.65	8396.1	10967.5	8427.24	4302.57
RPL27A	664.587	1252.69	758.836	3940.58	1872.4	1598.27
RPL28	3297.6	4418.06	4021.36			
RPL29	3620.06					
RPL3	11136.6	13190.6	11500.7	22096.4	9290.59	12570.4
RPL31	7330.95	5080.77	8684.66	8167.29	8472.16	
RPL4	4409.57	2333.98	1884.96	5411.6		
RPL5	1407.36	2467.97	3228.3	5161.77	4133.58	1440.88
RPL7A	6501.74		2330.45	3300.15	3886.36	4925.94
RPL8	6898.24	7615.89	4772.3	9302.99	13127.6	4466.38
RPLP0	2443.75		2892.43	4780.04	2894.4	2371.62
RPLP2		3165.06			1288.84	
RPN1	5537.72	3981.84	4934.29		2878.82	3391.8
RPS10	2762.47	1725.59		3053.25	2858.66	
RPS11	8018.22		5416.55			
RPS12	138936		4297.1		7874.84	2808.37
RPS15A	3199.26	1556.93	2488.07	2999.26	2617.28	2043.75
RPS16	3741.02	3227.06	2750.22		3306.98	1897.82
RPS19	2120.34		1755.26	3453.22		
RPS2		6840.55	5082.8	7331.77	4251.36	
RPS20	4244.78	4954.71	3232.12			
RPS23		4697.31	3985.02	5917.91	4630.94	2413.46
RPS3	5600.68	3508.62	4203.21		3593.89	
RPS4X		4028.62	1634.56	3558.14	2962.52	1642.93
RPS7	1101.09	1067.52	447.584	185.031	892.949	500.691
RPS8		4853.26	2429.75			1808.66
RRAS	18902.6		12029	12797.3	15850	7479.02
RTN4	2247.62	15214.7	9198.93	11721.5	6581.38	16069.5
S100A11	12713.3	16598.7	13640	18581.3	14213.7	8704.92
S100A13	2934.3					
S100A14	6013.73	21867.6	15299.4	8738.66	5289.18	14825.3
S100A16	1973.91	22122.8	23219.2	22016.5	11165	14950.3
S100A4	18591.3	20310.9	37227.2	17409.6	53177.4	5500.46
S100A6	263025	72469.3	153086	266244	225726	112972
S100A7		19536	87392.7	71136.6	17518.3	70215.1
S100A7A						1449.71
S100A8	28104.1	220776	116473	125366	83790.1	102385
S100A9	30749.9	239623	97048.8	115728	117055	132818
SBSN	6792.73	19284	28212.4	26062.6	23973.1	26888.3
SBSPON	7655.85			3558.55		1931.95
SCGB1D2		4881.42	2391.07	10006.8	3420.58	49497.7
SCGB2A1		21914.9		6205.95	3033.33	3617.4
SCGB2A2		17377.7	18540.8	25720.3	18011.4	62734.2
SCPEP1			5573.92	6242.64	3928.9	10063.6
SDCBP	1545.88		851.135	1507.49	1851.11	1200.07
SDHA	6039.65		2004.46		2422.52	
SDR9C7	1895.15	5130.62	4960.73	4777.12	1899.9	10713.9
SEC11A		1963.61	2126.4	2582.43	1163.72	1181.13
SEC61A1			4036.62		3441.03	4490.5
SELENBP1	9458.51	5466.76	8939.39	27945.4	7949.65	24490.1
SELENOP	6599.25		4089.65		8784	
SEMA3B	3439.15					
SEPTIN2	5508.22		3529.5		2498.52	
SEPTIN7	9017.95		6053.85	11055.6	7884.29	2434.02
SERPINA1	24012.7	6815.75	17072.9	15915.8	27204.6	7816.27
SERPINA12	6493.35	27091.7	35695.9	26202.3	19852	40254.8
SERPINA3	10034.3	10297.4	30323.7	39124.4	45970.3	8482.36
SERPINB12	30186.7	169071	172739	130707	109809	201465
SERPINB3	9911.15	62996	73737.1	61815.3	93767.2	56369.1
SERPINB4	2105.15	7702.49	8538.02	14676	6168.95	4782.86
SERPINB6		2679.74	2836.35	2919.89	1866.14	5190.72
SERPINB7	2867.19	17621	18892.4	20443.8	11964.7	27842.4
SERPINB8		14151.5	14469.5	10352.2	5296.58	8947.56
SERPINH1	4018.63	4246.14	1894.51	2746.83	5325.89	
SFPQ	3434.93		2421.08		1647.16	
SH3BGRL	2969.58	1671.76	3153.48	4248.63	2929.07	1959.19
SH3BGRL3	2765.68	3899.65	6329.17		6927.14	3045
SHMT2	1045.79	7362.46	4621.83	8193	4239.89	4684.04
SIPA1			4835.25		3801.55	
SLC25A11					1589.07	
SLC25A3	5852.64	4795.81	4976.26	2186.58	6009.62	3045.25
SLC25A4			1405	1840.33	2200.76	
SLMAP	4877.3	3399.06	3677.68	7595.2	4927.3	1529
SLPI	5808.49	5496.41				
SLURP2		2513.07	3990.51		2741.42	4195.09
SND1	2463.69		1190.6		4053.56	
SNRPD2		2380.56	2458.79		1122.18	3932.2
SNRPD3	9530.78	7309.22	4895.25		8151.56	9452.44
SNRPE	1506.57	1121.56	1414.18	3348.95	1037.59	3141.9
SOD1	10972.1	6754.87	13428		8314.68	13111.9
SOD3	30854	9092.81	18186.3	8348.2	25451.2	3224.12
SORBS1	8636.57			7036.96		3702.92
SORBS2	31262	2703.25	20228.9	26693.8	30510.7	16555.9
SORBS3	3744.29	5290.33	6932.84		6199.64	2634.96
SPARCL1	4794.22					
SPP1				35596.4		
SPTAN1	8447.07		2929.38	5627.82	2025.59	
SPTBN1	6499.23		2125.5	3810.63	3295.27	
SRI	3795.29	4879.26	4189.55	4807.78	5381.81	4355.81
SRPX	262933	8421.9	12444.6	15049.2	18256.5	5327.36
SSR1		5419.24			2094.98	
SSR4		4121.1	3289.96		2335.78	4528.05
STAB1	9808.74			3047.9	1316.6	
STOM	7157.3	2541.93	3980.11	9977.29	5542.58	3358.51
SULF1	11261.5		7707.11		16814.9	
SUSD2	24583.4	1194.93	3806.59	20590	12683.8	9975.11
SUSD5			3973.81		7449.11	
SYNGR2	3162.08	8181.3	6146.91	4409.79	5549.49	7722.92
SYNPO2	9584.92	2774.5	1535.15	7441.62	2504.14	2707.76
SYPL1		3467.99	1417.51	4069.49	1311.79	4396.39
TAGLN	397277	209946	450443	426123	495170	235644
TAGLN2	21709.9	60650.4	103459	30015.4	159047	12619
TALDO1	4925	7668.92	7420.47	12411.4	6465.55	14208.1
TF	9248.39	13635.4	27668.5	19542.2	33422.5	9308.57
TGFB1I1	9651.9	3458.65	5402.36		11004.2	1327.11
TGFBI	166746	77841	45651.7	42047.6	73490.1	16486.8
TGM1	28134.1	101633	95688.1	79973.7	49549.1	120474
TGM2	32649.2	14302.9	5448.39	28094.5	5916.38	9063.96
TGM3	17920	74789.5	72894.4	53301	60289.4	103501
TGM5		4131.34	9748.15	2800.43	5875.27	6510.26
THBS1	9289.28	15609.4	28842.8	2834.29	50516.3	3622.88
THBS2	6305.77	20954.7	9391.44		15897.6	
TIMP3	575416		11017	57419.1	14114.3	18215.4
TINAGL1	82171.9	6173.07	52712.1	17791.7	38273.7	16475.1
TK2	2877.02	26004.7	25323.8		26224.7	
TKT	8999.53	7054.47	12425.2	16309.7	10948	10258.1
TLN1	30329.4	8058.41	19145.5	19471.1	26944.8	10445.2
TMED7	4296.48	3629.29	4910.73	5751.82	2067.04	2895.82
TMEM109	4730.19		3805.21	5753.05	5954	
TMEM43	6446.88	6529.7	4110.15	6450.02	5566.66	5160.76
TMPO	5189.42		2895.51	7229.48	3944.54	
TNC	7916.03		2197.57	8894.46	2981.64	
TNS1	13438.5	965.148	6712.52	12402.1	11159.5	5431.56
TNXB	16625.9		5682.37	7962.92	8671.6	
TOLLIP	4026.81	9372.27	21386.8	9554.59	10736.5	26805.2
TPD52L2	5244.69		6083.74	6035.81	5681.52	2480.49
TPI1	14875.5	19261.9	27404.5	23974.7	18468.1	15982.3
TPM1	73248.4	23648.7	66833	63969.3	73999.1	33211.6
TPM2	55525.2	22614.6	47835	44210.2	58971.9	20395.8
TPM4	21458.7	17367	17746.1	25755.6	34778.2	16440.2
TPP1	4650.39	12033.8	12978.1	10520.3	8449.26	19614.3
TREX2			4050.69	3517.6		2373
TRIM23			2837.37		1874.6	1943.27
TSKU			11243.2		4069.12	
TSPO	5647.73		5744.54	6479.61	9121.69	
TTR	3968.27	7056.46	14124.8	3216.04	17985.3	1715.45
TUBA1A	44588.1	28020.4	32032.9	33018.5	44073	21660.4
TUBB	18346.3	12901.2	27143.6	37976.6	40281.3	17013
TUBB2A	9657.99	984.035	1949.21		2808.14	
TUBB2B	7830.26					
TUBB3	4434.31					
TUBB4B	10537.4	6244.27	11234.8	20996.4	14342.7	6950.8
TUFM		5359.4	3293.75	11615	6486.19	7490.84
TXN	50099.1	157759	197268	148361	75234.6	186661
TYMP	788.849	2646.59		1633.14	801.054	
UBA1		1482.86	2123.56	2956.95	2219.57	2322.73
UGDH					3881.64	
UMOD	2043.87	21683.9	9800.51	15536.8	11369.8	10777.9
UPF2					23451.3	135453
UQCRC1	4293.24			3889.6	3289.8	2086.88
UTRN	596.948		292.512		291.867	
VAT1	7879.34		11359.6	14458.9	6885.35	8294.44
VCAN	25774.2	68644.3	48907.2		101251	
VCL	74884.6	30531.1	73893.4	63599.8	102175	36143
VCP	9265.45	10718.4		9132.23	9702.21	6237.12
VDAC1	4472.64	12493.6	11932.2	9858.89	8437.92	6416.07
VDAC2	10678	11117.5	13477.8	8931.41	8950.99	9500.43
VIM	323652	185531	427688	268741	587445	102518
VIT	2478.29					
VSIG8		7809.44	5913.32	8028.59		4236.06
VTN	133713	24273	95124.8	22571.8	104471	17223.6
VWA1	23789.5		1613.52	13247.7	10094.9	10213.4
VWF	2856.99					
WDR1	22673.1	12529.1	20681.8	18798	27359.5	13867.5
XDH				4701.47		
YWHAB	6065.2	3568.33	4313.18	6297.31	7115.33	3134.58
YWHAE	12697.9	7182.94	9805.88	11957.5	5244.2	
YWHAG	11537.9	3712.05	7250.14	12378.3	13555.8	4076.81
YWHAH	10898.9		3178.61	7926.05	8353.43	
YWHAQ	12514.9	3697.08	6670.62		7803.97	4530.91
YWHAZ	19595.8	15422.2	21097.6	23455.9	21250	10124.8
ZG16B	1113.47	20334.4	30536.2	10203	1930.98	4202.69
ZYX	15813.9	9691.31	21151.1	10055.8	31517.5	
