Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	TU014944PAP_Slot1-12_1_3201.d	TU014945PAP_Slot1-11_1_3202.d	TU014946PAP_Slot1-10_1_3203.d	TU014947PAP_Slot1-09_1_3204.d	TU014948PAP_Slot1-08_1_3205.d	TU014949PAP_Slot1-07_1_3206.d	TU014950PAP_Slot1-06_1_3207.d	TU014951PAP_Slot1-05_1_3208.d	TU014952PAP_Slot1-04_1_3209.d	TU014953PAP_Slot1-03_1_3210.d	TU014954PAP_Slot1-02_1_3211.d	TU014956PAP_Slot1-24_1_3213.d	TU014957PAP_Slot1-23_1_3214.d	TU014958PAP_Slot1-22_1_3215.d	TU014959PAP_Slot1-21_1_3216.d	TU014960PAP_Slot1-20_1_3217.d	TU014961PAP_Slot1-19_1_3218.d	TU014962PAP_Slot1-18_1_3219.d	TU014963PAP_Slot1-17_1_3220.d	TU014964PAP_Slot1-16_1_3221.d	TU014965PAP_Slot1-15_1_3222.d	TU014966PAP_Slot1-14_1_3223.d	TU014967PAP_Slot1-13_1_3224.d	TU014968PAP_Slot1-36_1_3225.d	TU014969PAP_Slot1-35_1_3226.d	TU014973PAP_Slot1-31_1_3227.d	TU014974PAP_Slot1-30_1_3228.d	TU014975PAP_Slot1-29_1_3229.d	TU014976PAP_Slot1-28_1_3230.d	TU014977PAP_Slot1-27_1_3231.d	TU014978PAP_Slot1-26_1_3232.d	TU014979PAP_Slot1-25_1_3233.d	TU014980PAP_Slot1-34_1_3234.d	TU014981PAP_Slot1-33_1_3235.d	TU014982PAP_Slot1-32_1_3236.d
P17480	P17480	UBF1_HUMAN	UBTF	Nucleolar transcription factor 1	5367.91	6632.79		8093.1				4246.86		9039.85		5529.62	5208.34	5312.63	5875.55	6400.72	4288.23	7436.48	5952.04		9499.86			4132.08	4529.06	3937.8	6330.14	6905.71	3712.03	3972.85	6575.07	4311.88	4937.2	4499.47	5195.47
P17612	P17612;P22694	KAPCA_HUMAN	PRKACA	cAMP-dependent protein kinase catalytic subunit alpha	4174.86		2300.45		2601.14		3413.84	3017.29				4872.55	4390.76	4382.35	4495.01	3375.41								4568.47	5088.7	4517.09	5075.84	5213.5	4246.53	4617.09	5154.34	4589.51	5077.3	4656.94	5076.88
P17655	P17655	CAN2_HUMAN	CAPN2	Calpain-2 catalytic subunit		4401.43	2856.98					3018.1	5341.82	3251.89			2321.29			2659.26		4021.39	5792.38	3518.04		3538.67	4123.94	3348.18	2504.32	1992.86		2404.13				2212.7			9843.31
P17677	P17677	NEUM_HUMAN	GAP43	Neuromodulin	6737.51	7405.89	3898.47	5009.55	5141.9							4212.93	3921.93	3629.69	4456.5	7222.01	7144.08	5874.72	5530.5	4399.59	6283.83	3921.47	8337.47	4221.88	3591.15	3858.45	4172.39	4366.55	3858	3719.02	4107.9	2661.71	5721.22	4493.07	20265.8
P17812	P17812;Q9NRF8	PYRG1_HUMAN	CTPS1	CTP synthase 1		1391.18		1402.23	3012.83	716.514		2992.52				4682.25	4229.44	4728.49	4256.96	2246.27	3997.27	2880.62	2194.05	3469.85	3376.87	2330.04	1537.47	4694.12	4324.08	4380.07	4487.27	3990.24	4903.48	4597.21	4198.94	4478.25	4895.57	4857.88	4652.42
P17844	P17844	DDX5_HUMAN	DDX5	Probable ATP-dependent RNA helicase DDX5	30954.4	30330.8	29595.1	27411.3	27891.9	30633.5	25130.4	28083.5	23247.9	22894.2	22486.2	25336.8	24002.9	24820.9	24958.8	34659.6	29941	35447.5	34709.1	34502.7	31850.3	29619.8	31338.2	21299.7	22020.4	23675.2	23027.5	23194.6	21650.7	23841.2	22954.2	21435.9	23902.4	22857.8	25271.1
P17858	P17858	PFKAL_HUMAN	PFKL	ATP-dependent 6-phosphofructokinase, liver type	12890.7	7426.18	10397.3	9049.37		3602.99	11493.6	6168.51		3941.96		12451	11816.8	10807.8	10748.1	9200.29	8659.24	9240.95	9479.25	7913.28	6582.09	8400.95	7438.99	12591.3	13164.9	12653.4	11970.8	10093.1	12042.4	14246.3	10919.9	11835.2	12637.3	12191.9	15525.5
P17900	P17900	SAP3_HUMAN	GM2A	Ganglioside GM2 activator	16528.3	4771.71	14018.9	6095.67	19222.3	6828.73	17476.4	7206.2	15377.2	12831.1	18554.5	5806.08	3513.12	7017.5	6645.1	6404.67	4267.18	7464.38	15135.4	15003.8	6444.26	12805.1	6552.12	6998.18	4659.15	9002.64	13726.4	20060.4	2396	2578.5	5885.42	1493.62	7693.17	4635.79	6594.12
P17980	P17980	PRS6A_HUMAN	PSMC3	26S proteasome regulatory subunit 6A	9022.2	10310.6	11991.3	8669.59	8414.84	8565.69	7054.78	10666.9	16096.3	11858.3	10483.7	4510.41	3453.16	3736.73	2843.61	5752.65	7581.53	6240.46	8044.91	9309.62	7352.02	10251	6848.93	3564.84	3259.86	4116.64	3620.3	3192.32	3026.89	5292.88	3747.24	2852.29	3737.14	3546.52	8763.48
P17987	P17987	TCPA_HUMAN	TCP1	T-complex protein 1 subunit alpha	65990.3	79466.8	67591.8	74319.2	65572.9	70502.7	55310.2	77626.6	71555.3	60123.4	67126.3	63342.8	69070.2	63733.8	69041.7	69745.2	79694.3	80871.4	78142.6	78617.9	70714.5	72840.7	83711.8	66012.1	67346	72337.2	69352.5	68095.2	67972.6	70887.5	64530.3	63032.3	76077.1	69352.5	83735.5
P18074	P18074	ERCC2_HUMAN	ERCC2	General transcription and DNA repair factor IIH helicase subunit XPD		3050.88						3922.97				4514.87	4774.67	5124.05	5010.78		3227.95	3702.87	8051.25			5169.42		5041.15	4512.17	4003.03	5911.21	6208.91	4192.55	4278.53	5124.7	4545.47	3452.94	5368.05	3775.94
P18077	P18077	RL35A_HUMAN	RPL35A	60S ribosomal protein L35a	16656.1	25333.5	14455.2	21337.4	15743.5	23131.1	16743.1	18366.6	14827	11840.6	14496	7146.34	8315.45	7177.61	9292.52	20482.9	23999.1	20608.7	15813.8	15559.8	26026.8	15541.4	19253.1	7037.04	7387.58	6595.55	7959.35	7627.08	6828.99	6931.06	8749.32	7417.12	6960.71	7494.95	8295.46
P18124	P18124	RL7_HUMAN	RPL7	60S ribosomal protein L7	24474.6	29554.7	23217.4	27335.3	20106.2	28386.9	19277.1	20792.9	24314.3	15471.4	14299.1	26693.8	25663.9	24868.4	26297.7	28291.8	28957.2	31666.5	28944	26970.6	34858.3	27136.6	29380.2	24947.9	26305.8	26599.7	28255.7	26102.1	25467.1	27357.1	26418	24561.5	26401.2	26605.7	29939.2
P18206	P18206	VINC_HUMAN	VCL	Vinculin	33137.6	20242.9	27667.6	22692.1	32588.1	28427.3	32167.2	33322.5	32401.1	29680.5	31078.1	9676.94	7941.66	10227.8	10722.1	19188.7	19425.5	20407.5	24541.8	21101.4	18535	21299.8	22255.5	9454.93	9985.68	10337.1	14746.8	16567.7	7976.18	9021.37	9411.18	8710.92	10296.8	9333.86	15118.3
P18615	P18615	NELFE_HUMAN	NELFE	Negative elongation factor E												3329.27	2971.86	3659.41	3344.97	3825.39	4251.05	3181.21	4470.16	4166.55	3602.52	4006.11		3853.67	3649.2	4271.65	3725.19	4233.78	3103.38	4593.31	3857.7	4090.68	4295.43	2873.88	3969.04
P18621	P18621	RL17_HUMAN	RPL17	60S ribosomal protein L17	26273.9	29755	23798.2	23901.1	23628.8	26659	14503.9	19555	25463.8	16335.7	14288.3	55284.5	56147.6	56180	59572.6	46444.7	50173.8	48830.4	44127.6	43786.9	36142.2	35694.1	30143.4	57689.6	60621.2	61472.2	56839.2	54323	59359.7	64969.3	58419.1	60745.7	58033.7	60750.1	57034.9
P18754	P18754	RCC1_HUMAN	RCC1	Regulator of chromosome condensation	8536.11	10707.9	9624.01	9259.96	9873.25	9216.62	19608.8	9241.79	9173.91	7551.75	13284.5	17598.9	19168.1	18513.8	19925.8	15917.7	14345.6	15082.9	13073.3	11525.8	10360	12901.8	13501.5	19667.8	17920.1	18461.4	17203.1	17471.8	16804.2	22176	19845.2	19101.4	19508.6	17287.6	15814.2
P18859	P18859	ATP5J_HUMAN	ATP5PF	ATP synthase-coupling factor 6, mitochondrial		5633.84	5558.77	4919.75		5633.43		1342.96		3835.64		2599.52	2238.96	2206.65	2551.66	8121.44	12305.7	10600.6	7986.51	8144.23	13969.3	7836.15	7146.99	1852.57	1686.88	2087.08	3525.85	2485.33	1342.95	1661.82	2719.22	2673.62	2063.38	2408.73	2882.69
P18887	P18887	XRCC1_HUMAN	XRCC1	DNA repair protein XRCC1	7244.27	5196.12	7113.23	6181.73	5937.57	5926.8	4873.17	5267.69	6234.22	6932.51	5686.76	5448.95	4565.63	5294.6	5936.68	7391.82	4808.89	6887.05	6373.19	7221.01	6648.53	6080.59	7695.97	4380.18	4693.31	4524.69	5314.6	5259.82	4290.94	2772.02	4912.26	4325.05	4638.86	5818.17	5073.33
P19022	P19022;P55283	CADH2_HUMAN	CDH2	Cadherin-2	5600.77	6413.99	3856.7			4791.92		7379.27				2100.87	1600.7	2304.54	3807.35	6019.87	6274.41	6294.92	5587.39	3576.34	5548.18		5316.86	1992.25	1732.56	2375.41	2105.71		1849.52	2399.33	1894.33	1883.71	1672.6		3262.27
P19338	P19338	NUCL_HUMAN	NCL	Nucleolin	284344	301689	251166	216902	223475	257792	174684	246256	217297	167327	147107	277580	284621	271947	272069	389897	390493	367587	371020	341717	316326	275515	257299	270530	271829	270226	259253	252082	285870	297662	261415	266588	274925	275801	280405
P19367	P19367	HXK1_HUMAN	HK1	Hexokinase-1	14154.4	8738.08	8531.31	6124.32	9013.18	9281.71	11498.1	10689.7	9958.88	11027.1	8721.86	5652.67	5045.46	5074.84	4281.36	7188.81	8268.39	9810.56	8240.71	10882.8	20683	10159.2	7477.12	4261.61	4637.16	7629.29	7237.22	6477.37	4494.12	5072.35	5863.72	4857.8	5043.92	4948.39	8246.53
P19388	P19388	RPAB1_HUMAN	POLR2E	DNA-directed RNA polymerases I, II, and III subunit RPABC1		2819.82	2306.88		2409.95	2993.85		2223.05	1961.01	1590.79	2108.7	2847.07	3356.74	3096.86	2953.65	3415.76	2736.59	2479.52	2035.17		4389.11	2903.39	2278.22	3642.09	2569.13	2589.42	2028.93	2334.77	2619.54	2543.45	3292.9	3553.73	2672.7	2749.11	2428.2
P19404	P19404	NDUV2_HUMAN	NDUFV2	NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial	5918.2	4544.34	6414.38	4287.95	4095.48	3777.76	3517.71	4188.84	3496.78	5143.29	2997.47	2107.87	2311.98	1964.66	2031.21	4363.63	6820.83	5341.41	7101.53	8204.81	8545.5	7012.63	5021.89	2014.77	2488.05	2403.65	3186.64	2399.94	2543.34	2734.79	2237.65	2270.45	1447.48	2706.44	3333.32
P19525	P19525	E2AK2_HUMAN	EIF2AK2	Interferon-induced, double-stranded RNA-activated protein kinase	11334.3	8671.74	8972.36	9124.33	7323.92	8075.15	7998.47	10495.5	6923.48	9503.53	8139.18	10984.9	10743.1	10589	11235.2	9595.34	8745.56	8802.46	7492.28	8835.89	8993.79	8280.8	8001.96	10761.6	10292.5	10757.9	11481	10439.4	10665.3	10959.3	10668.8	10375.5	11720.7	11522.2	10842.1
P19623	P19623	SPEE_HUMAN	SRM	Spermidine synthase	11253.3	11556.2	10186.8	15374.8	11927.1	13717.2	14426.4	14708.5	16361.8	10289.1	15710	5329.71	5159.13	5105.85	5998.1	10163.2	8445.25	10188.2	10229.9	10490.9	11950.3	8683.93	10394.8	4864.56	4515.97	5483.23	5429.02	5333.75	6454.43	4792.88	5647.88	4890.66	6604.36	4909.09	6317.49
P19784	P19784	CSK22_HUMAN	CSNK2A2	Casein kinase II subunit alpha'	2268.28	2587.66	4306.84		3867.28						15120.9	3001.96	3206.19	3133.7	3574.99	2755.75	1985.8	2706.54	3506.77	2131.85		2988.25	2632.37	3450.37	3398.21	3265.33	3316.77	3168.34	3086.89	2980.16	3389.33	2980.68	3035.8	3006.32	3040.93
P19838	P19838	NFKB1_HUMAN	NFKB1	Nuclear factor NF-kappa-B p105 subunit												1428.94	1476.36	1247.22	1210.62									1679.83	1290.68	1378.63	1507.99		1271.93		1113.81	1668.72	1811.42	1552.99	
P19971	P19971	TYPH_HUMAN	TYMP	Thymidine phosphorylase															602.756												904.099	3617.36			450.535		638.888		
P20020;P23634	P20020;P23634	AT2B1_HUMAN;AT2B4_HUMAN	ATP2B1;ATP2B4	Plasma membrane calcium-transporting ATPase 1		1999.03	3373.74			4710.93				2474.47		1834.41	1433.02	1191.23	723.185	2630.95	3900.19	2959.94		2958.16	5699.94	3224.23	2636.36	1060.28	1395.1	1904.01	2284.59	2087.82	1366.75	2435.9	1364.62	848.161	1136.88	1450.8	3075.38
P20042	P20042	IF2B_HUMAN	EIF2S2	Eukaryotic translation initiation factor 2 subunit 2	30124.2	27322.5	26710.3	21584.3	21257.1	22865.1	18249.9	23760.7	18438.2	12806.2	13398	41525.5	39000.3	40706.2	34786.5	48064.7	50286.3	41748.1	47418.6	44245.6	41494.1	39352.4	31844.6	39619.2	41544	40071.3	37854.8	36936	44792.2	50231.4	41088.6	43020.7	43048.5	45795.3	39656.7
P20073	P20073	ANXA7_HUMAN	ANXA7	Annexin A7	16817.9	9320.39	11911.8	11673.9	16603.3	13838.8	22663.5	14514.5	13554.3	14863.6	15719.4	5635.98	4635.09	5613.51	6079.03	10738.4	12249	10554.3	11219.2	12498.2	12485.3	13891.6	13974.9	4736.87	4381.42	4824.26	7037.35	8786.64	4667.04	4923.21	5502.48	3982.48	3577.03	4607.25	6034.68
P20226;Q6SJ96	P20226;Q6SJ96	TBPL2_HUMAN;TBP_HUMAN	TBP;TBPL2	TATA-box-binding protein		2311.98		1761.57	2298.86	2936	1601.71	1537.81		732.938		3662.32	3571.37	3492.97	3646.49	3977	2282.13	3472.85	3394.22	3520.55	3246.96	2021.53	2017.93	3708.27	3800.55	3427.53	3924.4	3800.21	3539.31	4593.17	4026.37	4172.15	4128.86	4226.97	3551.6
P20290	P20290	BTF3_HUMAN	BTF3	Transcription factor BTF3	10286.1	9535.82	8261.26	12089.1	13414.7	13513	11542.9	24459.2	14558.5	11769.7	11590.6	6266.53	6285.06	6558.7	7271.54	12406.5	11082.8	10404.2	9445.86	10817.1	13299.8	12882.5	10261	6839.65	7547.73	7011.85	8131.13	7382.3	7891.65	7890.94	8599.59	8682.07	7269.92	6938.09	5696.24
P20339	P20339	RAB5A_HUMAN	RAB5A	Ras-related protein Rab-5A	4149.14	3829.94	3182.85	4198.76	4581.68	4811.05	4432.36	4452.2	4290.43	3410.7	5735.15	2480.3	2170.76	2534.31	2817.64	2315.92	5178.33	3893.03	4141.23	4348.04	4505.86	4425.41	3714.92	1932.02	2344.21	2513.16	2725.93		1647.18	2246.67	2506.73	2172.17	2313.08	1565.97	3554.32
P20340	P20340	RAB6A_HUMAN	RAB6A	Ras-related protein Rab-6A	8383.48	8932.75	9490.99	9300.83	8721.65	8474.81	10345	10348.7	9536.44	7116.93	9755.91	5281.66	4991.3	4156.84	4760.17	8689.83	9380.52	8618.53	8704.87	9645.55	10602.6	9845.07	13706.4	4620.76	4833.11	5019.53	6304.24	5001.32	4367.75	4213.07	4920.8	4800.57	5805.74	4883.74	8401.46
P20585	P20585	MSH3_HUMAN	MSH3	DNA mismatch repair protein Msh3												4423.78	4134.68	4423.34	3655.73	3309.83	3496.73	3219.1		4827.71	3592.82		4540.41	3631.41	3182.35	3904.6		4491.25	3164.25	3199.8	4010.1	4073.88	3652.36	4004.27	4369.83
P20618	P20618	PSB1_HUMAN	PSMB1	Proteasome subunit beta type-1	23986.6	11058.5	16459.9	13036.5	20619.4	12783.1	26174.6	15932.4	15896.2	15237	20318.7	11364.5	9885.13	13154.8	13658.9	13309.7	10980.5	12858.5	14491.9	16181.4	11473.2	15457.6	12879.2	12999	10975.1	13475.7	15057	17317.9	10591.1	10260.9	12712.4	9426.6	12738.7	12334.9	12410.7
P20700	P20700	LMNB1_HUMAN	LMNB1	Lamin-B1	24064.8	37473.1	17191.7	18790	17721.7	35675.2	21970.1	18230.3	17766	15200.7	14696.8	14832.3	19686.6	11951.9	11612.5	19431.2	19883.4	34360.4	21685.9	28428.2	35188.1	24058.7	38680.9	11996.5	12649.3	13962	14513.2	18479.2	11951.6	10265.3	11551.4	11036	19386.8	11993.5	16014.5
P20839	P20839	IMDH1_HUMAN	IMPDH1	Inosine-5'-monophosphate dehydrogenase 1		3651						3519.22				9052.69	7663.69	9234.91	9970.71	6023.62	5039.39	5845.39	7645.78	8246.12	4583.77	5721.43		9583.33	9811.07	9104.3	8164.55	9663.29	8917.96	9619.75	8424.42	8537.45	9519.07	9850.25	7966.91
P20930	P20930	FILA_HUMAN	FLG	Filaggrin	32931.9	5352.31	18191.9	10381.6	38737.8	11112.9	44510.5	10221.6	14335.6	14044.9	23685.1	8468.54	4558.38	7881.05	12218.7	13518	5454.06	15043.2	12948.4	22494	7254.43	15898.8	12452	6536.01	5430.09	8244.45	11829.6	20178.5	2778.05		4112.43		6677.73	5709.9	4202.65
P20962	P20962	PTMS_HUMAN	PTMS	Parathymosin	23258.8	46134.6	13250.5	11997.1		7323.46		4486.46		3740.38		21518.9	20053.8	16213.3	13995.3	39438.5	38359.9	53235.1	36665.5	30173.2	34656.2	24695	45548.2	15265	14372.3	14214	14329.8	13890.2	15307.8	24077	15978.2	16417.1	26800.3	15195.6	36999.6
P21127	P21127;Q9UQ88	CD11B_HUMAN	CDK11B	Cyclin-dependent kinase 11B	10457.8	8779.99	8639.52	8145.85	9481.07	7837.28	6779.11	10835.4	6296.08	4761.18	4871.99	7623.54	8038.58	7542.56	8415.18	12627.1	11649.8	9996.55	9816.33	9943.87	11252	9348.24	9810.19	6688.16	6947.27	6848.35	6609.9	7586.29	7699.89	7263.16	7614.52	7621.8	6312.35	7047.27	5893.89
P21266	P21266	GSTM3_HUMAN	GSTM3	Glutathione S-transferase Mu 3	4420.34	11190.1	2317.05	2587.91		2354.67	3157.17			2598.29		3293.64	3621.99	3412.42	2467.57	3494.39	2507.42	4149.39	4921.16	4167.68	3415.31	5695.49	4364.61	3263.88	3537.21	4757.55	2968.15	3030.77	3311.23	2648.62	2974.86	3410.96	3138.37	3559.8	7888.3
P21283	P21283	VATC1_HUMAN	ATP6V1C1	V-type proton ATPase subunit C 1	2192.25	1810.55	1741.22	1888.91								3973.29	3540.52	3760.92	3645.19	3281.69	3594.66	1443.94	1899.25	929.365			1674.32	5513.04	4744.01	4525.54	5271.36	5490.76	4433.91	3189.46	4166.55	4343.34	5580.98	5046.56	5246.97
P21291	P21291	CSRP1_HUMAN	CSRP1	Cysteine and glycine-rich protein 1									4429.84			7772.69	5821.37	7442.03	5651		1631.64		4301.44	6399.52			4174.1	8162.67	9232.31	6702.98	8216.68	6642.28	7717.31	10291.6	5813.19	6043.49	7786.63	9344.97	7039.27
P21333	P21333	FLNA_HUMAN	FLNA	Filamin-A	16937.9	15002	17110.3	16249.5	17202.7	12957.6	17161.7	16638.1	15608.8	13079.3	16959.5	24623.3	24121.7	24615.1	25143	19821.1	18799.1	16852.8	18914.7	17847.5	15494.2	17198.3	13942.2	25648	25463.8	25487	23877.9	24688.4	25417.8	26405.3	25084	26563.2	24787.4	26021.8	24340
P21359	P21359	NF1_HUMAN	NF1	Neurofibromin		1672.71		2324.85								3644.2	2655.08	3010.48	3201.21	3156.85		3377.13	3535.56	1264.81	3408.54	2825.79	2292.49	2638.46	3324.44	2901.72	2949.82	3280.2	2500.05	3280.16	2834.62	2582.25	2658.36	3161.19	2675.08
P21796	P21796	VDAC1_HUMAN	VDAC1	Voltage-dependent anion-selective channel protein 1	15990.4	10848.3	13355.4	12610.2	14090.4	12000.5	14343.6	14374.6	12634.3	16748.3	12602.2	3578.29	4295.41	6521.98	5339.55	12027	11873	11749.3	12577.4	14315.8	32064.2	15129.5	15491.5	4380.31	4490.57	6361.87	5753.32	7424.08	4100.99	4797.37	4707.45	5163.74	4368.85	6061.4	10305
P22059	P22059	OSBP1_HUMAN	OSBP	Oxysterol-binding protein 1		1196.42								1371.59		3705.56	3631.89	3567.09	3084.96				2771.16	1232.5			3083.3	3771.77	3736.96	3875.44	3164.6	4112.85	3385.86	3455.58	3323.18	3734.95	3146.09	3932.23	3607.64
P22061	P22061	PIMT_HUMAN	PCMT1	Protein-L-isoaspartate(D-aspartate) O-methyltransferase	17077.5	9644.87	16159.2	18442.9	17709.3	19358.1	12950.1	19843	24313.3	17252.4	19097.6	7180.83	7097.37	6531.04	7120.69	10863.3	14334.7	12792.4	15303.9	14287.6	19674.8	12820.4	14462.2	4505.42	5507.14	6310.85	7899.4	8646.19	4837.04	4846.04			5962.28	3742.93	6856.86
P22087	P22087	FBRL_HUMAN	FBL	rRNA 2'-O-methyltransferase fibrillarin	15048.6	15447.3	12800.7	12277.8	10517.1	12882.3	11669.2	12951	12430.5	8768.04	8969.58	14749.5	14587.7	15713.4	15343.1	15369.6	15139.4	18891.3	15659.5	15969.3	18898.9	13822.5	17234.7	15548.5	16310	14800.3	15341.9	17148.2	14400	15842.3	16612	15973.3	12749.4	15005.3	14587.9
P22102	P22102	PUR2_HUMAN	GART	Trifunctional purine biosynthetic protein adenosine-3	19063.2	11201.9	15157.2	15740.4	12794.4	14551.4	14670.9	12771.9	14693.1	11497.5	12276.8	10966.2	10962.6	11373.7	11933.9	14168.2	14780.7	14935.2	16804.5	13538.9	13473.5	17056.5	17471.6	11879.8	11795	11586.3	13026.5	11843	12364.4	12738.3	11958.6	11530	11492.6	10787.4	10974.5
P22234	P22234	PUR6_HUMAN	PAICS	Multifunctional protein ADE2	20518.9	17178.9	15790.8	26680.3	14725.5	13320.1	12318.8	14236.5	18429.4	14859.6	13868.3	36396.9	36181.1	35411.8	32968.2	21024.9	20824	23266.4	24568.3	20586.5	16306.5	20693.4	20524.6	41673.4	40519.5	39325.8	39011.1	37896.6	38736.1	42784.4	39460.1	39431.4	40572.5	41544.8	38231.1
P22307	P22307	NLTP_HUMAN	SCP2	Non-specific lipid-transfer protein	3243.81	3528.56	3417.33	2971.03		3139.17	2539.17	2711.64	3047.46	4643.77	2517.16	1736.22	1826.52	1667.87	1128.01	3606.59	3685.61	2843.13	3045.68	2793.13	4132.52	2946.54	3535.9	1115.1	1846.06	1392.9	1157.7	1421.49	2313.76	1680.95	996.624	1984.59	1526.5	1952.9	7501.74
P22314	P22314	UBA1_HUMAN	UBA1	Ubiquitin-like modifier-activating enzyme 1	20569.4	26777.2	19499.4	18917.5	21275.1	17576.8	16789.4	17921.4	19696.1	16114.4	15371.9	14808.8	15701.8	13087	12610.2	20343.4	20925.4	27905.5	20732.6	19765.4	24394.9	20976.7	28905.6	11318.6	12163.1	15848.8	13895.5	14237.7	11580.4	12118.5	13756	11966.1	14505.4	11917.8	34203.4
P22626	P22626	ROA2_HUMAN	HNRNPA2B1	Heterogeneous nuclear ribonucleoproteins A2/B1	90010.8	128671	99761.2	113511	110944	114621	89863.1	153359	125901	101107	110474	51920.4	56875.6	49576	54853.9	84203.3	92349.5	115854	86277.4	93954.2	97593.3	91439.1	116772	45122.4	51279.5	50410.2	46101.2	51990.5	47275	49863.7	50798.2	45085.7	66058.3	48223.3	76840.7
P22681	P22681	CBL_HUMAN	CBL	E3 ubiquitin-protein ligase CBL									3422.95			4937.86	4257	4306.18	4375.28	4634.47	2184.32		3530.88		2498.06	4017.56		4920.15	4387.73	6628.61	6306.98	5591.11	5179.64	3653.13	5867.18	5619.58	5346.63	4107.4	3304.9
P22695	P22695	QCR2_HUMAN	UQCRC2	Cytochrome b-c1 complex subunit 2, mitochondrial	9814.61	9731.98	9620.09	11252.6	6564.43	8792.45	5942.07	7394.8	6993.04	5904.03	5744.35	5106.78	4080.88	4696.75	4618.17	13596.5	14997.7	13324.4	15173.1	14574.5	17783.1	11145	12562.6	4976.7	4740.21	4820.87	5461.74	5106.92	4201.23	4597.43	4580.95	4574.92	4954.92	4686	7334.63
P22735	P22735	TGM1_HUMAN	TGM1	Protein-glutamine gamma-glutamyltransferase K	25377	4034	15237.4	9996.21	20933	9056.86	37556.3	5617.89	11712.2	14098.5	21641.6	5654.32	3751.44	11639.3	9014.1	9444.58	2669.23	12320.9	15173.5	16022	3150.56	18549.3	10097.2	6382.97	6360.56	7365.16	11206.5	16120.9	1732.81	670.172	7710.44	1746.01	5971.63	4650.86	6388.25
P23193	P23193	TCEA1_HUMAN	TCEA1	Transcription elongation factor A protein 1	10479.5	11064.3	8476.4	12856.9	11531.3	11873.7	12450.1	11262.5	10063.7	11596.6	10158.4	8804.9	9259.66	8182.65	11291.7	9377.96	8630.36	11925.8	12673.6	11550.6	11009.8	10052.6	10913.9	9666.55	9001.56	9110.63	8178.1	9135.43	9112.36	9991.07	11023.1	9570.17	9030.57	8860.84	10109.8
P23246	P23246	SFPQ_HUMAN	SFPQ	Splicing factor, proline- and glutamine-rich	38059.6	48608.2	39359.2	43073.1	37350.2	44760	38667.3	44064.2	39546.1	34749.5	35467.8	29992.6	34939.3	29575.6	35389.5	42619.2	43725.7	48551.3	41630.5	38905.1	42168.2	43235.1	47955.6	27857.1	31408.2	28761.3	28671.6	30730.4	27579.1	28954	30109	28556.6	33861.2	30120.2	33092.7
P23258	P23258;Q9NRH3	TBG1_HUMAN	TUBG1	Tubulin gamma-1 chain	7768.52	4233.21	5530.8		6371	6688.72		7651.15	7471.94	4741.4	4194.6	6002.78	5382.12	6060.8	6038.7	6011.72	5256.32	6399.41	5256.45	5022.04	5069.64	6059.96	6612.22	5852.26	5402.71	5906.01	6910.58	7224.7	5695.26	5809.02	6008.52	5493.76	5918.85	6397.41	5939.19
P23284	P23284	PPIB_HUMAN	PPIB	Peptidyl-prolyl cis-trans isomerase B	65641.3	57460.3	48432.6	47178	39617.1	50002.8	38018.8	52872.7	50515.6	42402.4	37900.6	335128	321524	322459	333216	120017	117830	86779.7	93777.9	77518.2	79626	64305.6	53202	379354	368742	356477	351437	327732	341900	364182	337951	334948	372676	370520	332059
P23381	P23381	SYWC_HUMAN	WARS	Tryptophan--tRNA ligase, cytoplasmic				2758.83	2196.68							1131.74	1637.65	1522.36	1566.41		2109.86							1258.42	1638.46	1453.07					1150.96	1032.11	1724.59		1376.93
P23396	P23396	RS3_HUMAN	RPS3	40S ribosomal protein S3	129230	133434	112018	124206	95464	120592	87017.5	108896	109128	88711.2	73309.8	191011	188792	186682	197143	213162	220244	177534	176810	166633	168070	141887	129406	181316	181441	187268	178789	172138	186390	189300	182546	182007	181986	181127	171048
P23526	P23526	SAHH_HUMAN	AHCY	Adenosylhomocysteinase	13961	6465.19	8565.09	9887.12	10738.2	5151.36	18840.3	6725.02	7362.92	7445	9060.22	8740.99	8865.08	10532.8	11600.4	10519.8	7526.01	9236.07	10571.2	13463	9005.63	12223.4	11550.2	10093.8	10014.6	10016.1	10702.4	13728	8731.92	8412.94	9062.29	9485.68	10659.5	10928.4	10700.8
P23528	P23528;Q9Y281	COF1_HUMAN	CFL1	Cofilin-1	38243.7	68146.3	30760.4	29275	27360.9	27022.1	30451.9	27184.4	25100.6	24046.4	22651.1	30746.5	33548	28793.7	31711.6	44812.2	49910.4	61402.7	42770.1	41194.2	46438	35064.7	51406.2	33984.7	31956.9	33743.1	30687.3	31752.6	33558.7	29434	27682.4	25326.5	31149.8	31683.4	52336
P23588	P23588	IF4B_HUMAN	EIF4B	Eukaryotic translation initiation factor 4B	22762.2	22713.8	15069.2	33173.9	28479.4	32427.3	20044.6	32696.7	23892.4	25994.6	29963.4	7394.29	7674.69	9515	6567.27	17487.7	25194.9	21481.8	19906.9	23763.1	22121	20060.6	26126.8	10244.4	8132.15	7644.45	9352.86	7286.51	8153.18	12688	8045.68	8913.51	8446.66	8821.92	9313.34
