Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	TU014892CK_Slot1-01_1_3148.d	TU014893CK_Slot1-02_1_3149.d	TU014894CK_Slot1-03_1_3150.d	TU014895CK_Slot1-04_1_3151.d	TU014896CK_Slot1-05_1_3152.d	TU014897CK_Slot1-06_1_3153.d	TU014898CK_Slot1-07_1_3154.d	TU014899CK_Slot1-08_1_3155.d	TU014900CK_Slot1-09_1_3156.d	TU014901CK_Slot1-10_1_3157.d	TU014902CK_Slot1-11_1_3158.d	TU014903CK_Slot1-12_1_3159.d	TU014905CK_Slot1-25_1_3161.d	TU014906CK_Slot1-26_1_3162.d	TU014907CK_Slot1-27_1_3163.d	TU014908CK_Slot1-28_1_3164.d	TU014910CK_Slot1-30_1_3166.d	TU014911CK_Slot1-31_1_3167.d	TU014912CK_Slot1-32_1_3168.d	TU014913CK_Slot1-33_1_3169.d	TU014914CK_Slot1-34_1_3170.d	TU014915CK_Slot1-35_1_3171.d	TU014916CK_Slot1-36_1_3172.d	TU014919CK_Slot1-14_1_3177.d	TU014920CK_Slot1-15_1_3178.d	TU014921CK_Slot1-16_1_3179.d	TU014922CK_Slot1-17_1_3180.d	TU014923CK_Slot1-18_1_3181.d	TU014924CK_Slot1-19_1_3182.d	TU014925CK_Slot1-20_1_3183.d	TU014926CK_Slot1-21_1_3184.d	TU014927CK_Slot1-22_1_3185.d	TU014928CK_Slot1-23_1_3186.d	TU014931CK_Slot1-37_1_3189.d	TU014932CK_Slot1-38_1_3190.d	TU014933CK_Slot1-39_1_3191.d	TU014934CK_Slot1-40_1_3192.d	TU014935CK_Slot1-41_1_3193.d	TU014936CK_Slot1-42_1_3194.d	TU014938CK_Slot1-44_1_3196.d	TU014939CK_Slot1-45_1_3197.d	TU014940CK_Slot1-46_1_3198.d	TU014941CK_Slot1-47_1_3199.d	TU014942CK_Slot1-48_1_3200.d
P35268	P35268	RL22_HUMAN	RPL22	60S ribosomal protein L22	38149.4	43976.2	43316.7	36694	43472.3	33503.8	48763.7	45697	33482.3	67739.7	37555	37260.7	32044.9	43463.3	34604.9	62092.8	40363.6	39845.9	42595.4	50707.4	61988.7	45067.1	43890.8	48026.1	42812.1	41980.3	39437.1	44137.1	45308.6	39412.7	38456.6	43007.6	42411.7	58080.2	45004.3	49869.5	49018.8	47080.8	53893.5	40058.5	59539.5	57106.3	57799.4	26355.3
P35269	P35269	T2FA_HUMAN	GTF2F1	General transcription factor IIF subunit 1	8011.81	7152.23	7847.94	7448.02	7196.31	7805.46	7488.84	7601.1	8229.42	8747.32	12136.7	9302.08	8102.89	5632.05	8508.64	7152.4	6426.5	5855.23	6060.63	5879.5	6654.38	5243.41	6300.51	7473.26	7070.52	8095.48	7187.29	7295.29	7575.34	6673.04	6677.33	7372.85	6679.19	6643.42	6150.73	4522.17	5100.02	5809.21	5527.94	5988.81	5118.43	4662.78	4621.48	5843.84
P35527	P35527	K1C9_HUMAN	KRT9	Keratin, type I cytoskeletal 9	15349.2	17274	20560.1	24934	13571.3	15846	40552.6	31819.2	20364.7	12574.8	26992	27620.8	2.11075e+06	42324.7	31158.8	20765.4	20787.9	15471.1	15354.9	16650.1	16689	16267.6	30013.3	23917.1	72377.6	24424.7	20252	22040.5	19084.6	35551.6	23224.7	37862.9	80686.6	57998.4	388506	34031.2	20977.1	29476.9	28588.5	14835	23843.4	137282	19636.6	20065.2
P35579	P35579	MYH9_HUMAN	MYH9	Myosin-9	12533.1	12816.2	12637.3	12370	13817.3	14108.6	17631	12772.2	13894.7	9669.15	17916.4	10187.1	11850.8	15231.3	11046	11634.6	15444.6	15401.6	15546.6	15325.6	12702	15695	16562.3	14861.4	15531.5	16141.3	15052.2	15637.4	15749.7	15842.2	16815.1	16220.8	16328.4	16470.8	17129.3	18049.3	16506.5	16495.7	16905.8	18164.4	17657.8	17804	15336.1	16499.8
P35580	P35580;Q7Z406	MYH10_HUMAN	MYH10	Myosin-10	5990.03	6201.36	6194.31	5480.86	5341.04	6934.47	5741.5	5813.08	5771.77	8104.58	8902.88	6727.06	6270.36	6095.6	6553.62	6653.44	5481.8	5880.58	6307.15	6229.21	7771.15	6338.27	5659.01	7608.06	6458.56	5978.07	7343.57	6357.26	5810.98	6761.93	6508.24	6575.99	6328.4	6616.89	6667.95	8283.6	7023.21	7005.58	8380.02	7101.98	6980	6771.83	6823.74	6962.38
P35606	P35606	COPB2_HUMAN	COPB2	Coatomer subunit beta'	5585.59	6033.82	5639.58	5051.26	5181.04	6171.94	6424.65	5921.86	5840.75	6541.53	4146.63	4928.89	4758.79	6821.29	4904.34	7680.15	5799.07	6726.44	5805.4	7404.84	7769.95	6533.94	6119	5756.12	7269.99	5501.97	5318.09	5725.68	6781.59	6313.99	6607.61	7027.02	6203.52	6757.86	6512.77	6803.07	6554.16	6217.61	8159	6480.09	6259.51	7008.11	6146.51	5822.87
P35611	P35611	ADDA_HUMAN	ADD1	Alpha-adducin	6961.47	5939.85	7269.21	7102.08	6420.54	7193.08	6251.25	5982.81	6585.26	4647.95	3664.93	5695.64	7715.21	6406.76	6826.75	5214.74	7534.72	5510.08	5873.63	5636.85	5667.5	6047.26	5723.46	7696.12	6701.37	6749.74	6659.96	6475.2	6371.34	6908.32	6374.86	6254.11	5894.27	6490.63	6122.85	7708.86	6982.91	6610.53	7231.11	7059.09	7807.16	7078.42	7148.46	6941.38
P35612	P35612	ADDB_HUMAN	ADD2	Beta-adducin	3688.45	4176.86	3974.72	4496.22	4597.1	4901.24	3871.5	4302.21	4444.18	3612.55		4523.15	3624.67	4278.67	4479.96	4659.96	3160.24	3677.17	4062.77	3746.75	3670.59	3868.45	4072.66	6172.62	6241.1	6096.08	6734.17	6100.15	6781.36	6170.31	5835.27	5953.27	5786.58	5538.56	5054.11	5077.49	5610.06	5119.42	4890.86	5194.24	5514.32	5530.93	4967.39	5468.76
P35613	P35613	BASI_HUMAN	BSG	Basigin	1499.05	1317.34	706.084	1644.28	1705	1687.05	1259.33	1677.04	1286.21			2341.29	1153.02	470.011	1486.76		1129.18	886.205	1339.04	3350.31		1956.77	215.897	888.225						566.823	737.103			480.148	934.737			602.962						
P35637	P35637	FUS_HUMAN	FUS	RNA-binding protein FUS	43230.6	37953.3	35111.5	37384	37825.8	35126.1	33236.4	33236.4	36722.4	30166.4	20138.3	39565.7	39994.5	34309.7	38508.4	25373.7	29924.7	30067.9	32462	27779.7	22950.4	32103.9	31775	31944.9	26433.7	30746.9	27122.1	25743.6	29820.8	27938.1	26694.9	29247	30534.8	28686.1	26797.4	20023.1	22471.9	22535	21417.3	22563.1	17655.4	18579.7	18080.6	24210.3
P35658	P35658	NU214_HUMAN	NUP214	Nuclear pore complex protein Nup214	2263.82	2482.28	2010.92	2060.6	2393.98	2034.82	2285.42	2557.43	1989.33	3520.72		1279.24	1592.12	1693.81	2249.92	1357.57	2160.43	2105.74	1823.11	1743.01	4100.31	1873.14	2155.97	4152.66	5689.86	5499	7642.36	6992.63	5544.94	5445.91	5275.74	7083.11	5220.79	5559.83	5289.54	4634	5485.62	6295.5	5253.17	5479.9		5199.68		6553.56
P35659	P35659	DEK_HUMAN	DEK	Protein DEK	16228.3	13947.2	16243	15835	14751.2	14658.8	15180.5	16530.4	16392.2	10758.8	18392.6	14866.3	16460.5	18327.3	15480.7	11404.1	16202.5	16077.3	17330.5	16819	12489.7	17478.8	15607	14698.5	15586.7	13118.9	14435.9	14032.8	14829.3	13850.8	14071.7	14752	11463.4	14268.7	14374.8	12407.9	13516.1	13124.3	13621.9	11920.7	10397.7	13042.9	9928.29	12296.7
P35790	P35790	CHKA_HUMAN	CHKA	Choline kinase alpha	213.992	392.753		640.597	458.714		875.092	261.333	398.267			516.056	739.082	300.708		624.176	781.816	742.679	535.114	999.187		666.342	600.777	1071.16					1280.68		1018.01	1290.06		1362.86	1191.93	962.06				1333.4		1424.65		
P35908	P35908	K22E_HUMAN	KRT2	Keratin, type II cytoskeletal 2 epidermal	7596.53	7361.93	7674.23	9067.09	8561.12	6334.16	11886.8	828289	113169	7638.41	30259.4	135898	357072	1.23197e+06	21768.8	8227.5	5951.03	5864.9	5279.63	6008.21	7488.23	4647.65	7224.15	9866.92	562148	15078.3	9709.4	526519	15407.6	224422	15337.1	170716	194691	111194	420397	17198.3	9903.01	11076.8	435137	694783	39611.9	355473	15546.5	10834.5
P35914	P35914	HMGCL_HUMAN	HMGCL	Hydroxymethylglutaryl-CoA lyase, mitochondrial					430.872	721.852		337.378					1148.32							476.954		458.833					1486.03				2390.23				1849.54	1593.73				2272.96				1487.45
P35998	P35998	PRS7_HUMAN	PSMC2	26S proteasome regulatory subunit 7	1600.03	1474.56	1735.79	1556.19	1740.53	2131.45	2125.26	1850.6	1743.26	1636.75		2116.1	2290.59	1280.11	2166.72	1944.31	1225.33	1510.85	1923.28	1766.09	1852.59	1715.38	1416.93	2345.59	2946.7	2660.83	2397.83	2633.19	3207.49	2308.61	2868.94	2776.11	2857.56	2514.76	2575.4	2799.64	2949.54	2560.33	2553.64	2494.38	3567.85	2710.33	3160.96	3205.22
P36405	P36405	ARL3_HUMAN	ARL3	ADP-ribosylation factor-like protein 3	1551.28	1281.98	775.847	1239.3	1195.09	1224.05	1145.12	1594.46	1084.79	2351.43	3928.78	353.639	1446.93	1438.61	1514.07	981.584	777.111	1249.42	1512.84	1498.73	1542.4	1407.17	1031.13																					
P36507	P36507	MP2K2_HUMAN	MAP2K2	Dual specificity mitogen-activated protein kinase kinase 2	1654.48	1687.65	1457.56	1110.91	1318.58	2492.85	2159.79	856.042	1310.15	2206.43		822.755	1707.69	1009.6	594.586	2193.29	1794.58	1141.43	1118.16	986.543	1022.83	1614.35	1451.38																					
P36542	P36542	ATPG_HUMAN	ATP5F1C	ATP synthase subunit gamma, mitochondrial	951.108	1702.28	1075.97	1934.69	1382.46	5638.72	1356.98	1911.58	1259.05	2030.88		2181.49	8316.76	952.004	1640.97	2791.79	2151.69	1486.15	1711.44	1429.28	1395.17	4941.26	1455.23	3564.68			5052.65		4335.34	4329.62	4178.33		4113.1	4790.75	3460.56	4820.61	5483.98		4417.66	4030.4	8025.34			3203.25
P36543	P36543	VATE1_HUMAN	ATP6V1E1	V-type proton ATPase subunit E 1	2282.17	2749.49	2160.36	2143.06	2311.91	2939.11	3646.75	1899.05	2603.3	2894.34		3635.29	3961.67	1802.41	3351.02	2212.35	3088.72	2215.64	2156.82	2344.47	3394.24	2372.67	2200.25	1107.1	3087.47	1708.73	1385.41		1979.97		1597.2					2413.4	1858.03	1412.38			4542.12			2610.73
P36551	P36551	HEM6_HUMAN	CPOX	Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial	1829.01	1448.71	1775.77	1555.5	1639.39	1483.92	1834.16	1705.81	1639.99	1792.16	2915.58	1542.82	855.488	1586.89	1944.37	1231.27	2380.65	1900.32	2129.83	2273.42	1477.71	2166.42	1676.12	2303.82	1968.47	1822.31	1769.77	2362.99	2508.89	1846.97	2399.19	2472.61	1890.37	2444.1	1617.96	2615.26	2734.14	2694.52	2955.92	2605.04	3013.52	2933.28	2801.67	2658.91
P36578	P36578	RL4_HUMAN	RPL4	60S ribosomal protein L4	14759.3	12704.4	14740.5	13314.3	13382.4	14734.2	13542.8	14200.8	13701.5	11162.6	9710.89	15856.1	15172.2	14615	16467.2	13932.2	15178.9	14297	16697.3	12328.6	14931	12053.9	13184.3	16182.2	16209.6	17587.1	15386.2	18544.4	16635.7	17532.5	16018.2	17057.4	17726.3	16580.9	16259.4	18452.6	15631.5	15189.1	16582.7	18247.4	16069.9	17017.3	15111.5	16055.5
P36776	P36776	LONM_HUMAN	LONP1	Lon protease homolog, mitochondrial	2663.81	2085.29	2437.62	2942.21	2333.02	3522.97	2149.52	3072.55	2698	2721.99	3372.08	2443.2	3683.47	2729.76	1767.88	2930.12	2677.39	2631.97	3461.23	2276.04	2193.68	3324.94	3042.03	2792.08	3561.04	3115.85	3428.79	2689.38	3000.12	3564.57	3847.43	3088.25	2623.92	3181.17	3244.84	3488.26	3245.06	2684.98	2730.73	3340.83	3621.75	3113.1	1769.4	2606.93
P36871	P36871	PGM1_HUMAN	PGM1	Phosphoglucomutase-1	669.111	461.946	394.053	896.506	688.393		1185.45	675.381	564.918					531.981			924.325	1243.01	414.963	624.993		469.868	315.4																					
P36873	P36873	PP1G_HUMAN	PPP1CC	Serine/threonine-protein phosphatase PP1-gamma catalytic subunit	3025.56	3647.82	3138.53	4046.44	2510.87	3024.69	3162.64	3548.57	4140.08	1641.3		1805.9	2949.35	3546.51	3715.49	1592.82	3381.25	3950.71	3451.19	3436.73	1494.22	4111.7	3610.57																					
P36915	P36915	GNL1_HUMAN	GNL1	Guanine nucleotide-binding protein-like 1	12642.1	11227.8	12134.2	12943.8	12315.1	12764.3	12330.8	11469.5	11304.4	13483.7	11416.9	8384.44	11589	14635.8	11464.7	13517.7	12699.7	13772.7	13427	15212.9	14621.7	14282	12341.4	12094.2	13636.7	12255.3	14405.1	14733.2	13143.5	14715.9	13734.6	14949.4	12409.5	13878.3	14246.7	14669.7	14831.5	14175.4	14490.1	13521.6	11017.8	13483.8	13005.3	12263.7
P36952	P36952	SPB5_HUMAN	SERPINB5	Serpin B5		6499.97	4779.15				5198		449.749	7529.98							5163.04	4999.68	5585.37		7127.95	5385.39	3423.07																					
P36957	P36957	ODO2_HUMAN	DLST	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial	1664.38	2238.46	1503.41	1795.77	1333.56	3111.02	1675.06	1754.58	1788.64	1793.6		2013.2	5104.92	1911.42	1817.52	1768.79	1983.36	2119.6	1549.5	1627.21	2197.96	3462.64	1591.47	2678.97	2601.15	2941.17	3690.79	2373.23	2880.21	3110.5	4238.58	3582.68	3059.7	3129.86	4131.34	4873.92	3123.61	2921.27	4259.65	3505.35	5305.75	3459.99	2720.24	2859.19
P36969	P36969	GPX4_HUMAN	GPX4	Phospholipid hydroperoxide glutathione peroxidase	1252.64	1316.71	1585.14	1849.12	1529.34	1769.85	1710.24	1344.12	1595.51	1635.19		1630.86	1905.15	1484.51		1815.05	1067.73	2095.12	1234.79	1575.26	1709.66	1346.49	2169.87	1550.93	1567.04	1621.65	1507.79	1725.66			1690.69		1756.99			1683.28	1281.72	1619.39	1398.34	1615.44				1372.94
P37108	P37108	SRP14_HUMAN	SRP14	Signal recognition particle 14 kDa protein	7303.83	8009.72	8701.44	8467.48	8165.99	7051.1	7849.01	8066.66	7844.22	7195.75	7201.21	7107.13	6031.69	7543.86	6974.27	6582.38	7928.1	8255.53	9095.84	7952.96	7289.49	9008.84	8796.5	5961.9	6085.7	6046.03	6215.11	6409.21	5657.68	5840.23	6064.65	5659.06	5805.18	5358.48	5826.04	5655.67	5835.73	5826.74	6043.75	5252.33	6346.2	5724.16	5554.84	5409.17
P37198	P37198	NUP62_HUMAN	NUP62	Nuclear pore glycoprotein p62	555.285	1749.85	980.461	938.349			647.211	704.183	771.555				1125.76		885.539																													
P37802	P37802	TAGL2_HUMAN	TAGLN2	Transgelin-2	6968.38	11265.7	6649.61	6405.76	7112.27	7564.41	8672.11	6991.49	7921.89	5744.13	12811.8	7014.79	6655.96	8368.36	7465.35	6625.83	6540.92	8979.81	7447.99	7824.76	7291.89	7811.3	9099.03	6231.09	5659.2	5912.33	6537.45	6142.65	5650.24	5880.5	6915.02	6819.69	7564.97	5304.83	6530.33	5455.02	6533.23	6081.71	8762.74	6654.52	3617.33	6075.09	5908.57	6237.04
P37837	P37837	TALDO_HUMAN	TALDO1	Transaldolase	1511.31	1828.2	1333.47	1598.44	1682.22	1167.76	3060.03	1957.26	1815	1196.6		3197.78	2426.23	1735.72		1495.79	1408.93	2177.8	1876.87	1865.22	1315.36	1576.77	1736.45	4437.28		4637.09		3036.03	4297.87	646.725		4013.6		2146.95		1764.93	4064.44	3869.94	3515.4	4628.57	2773.27	2919.63	5949.77	2147.18
P38117	P38117	ETFB_HUMAN	ETFB	Electron transfer flavoprotein subunit beta	5156.11	5743.14	5013.31	4381.37	4522.62	6780.2	5240.38	5593.29	4919.8	5970.4	5197.04	4715.96	8574.98	4683.23	4353.74	6345.23	5265.49	4832.79	4657.83	5217.87	6660.36	6539.11	4981	6025.19	5386.84	5937.68	6896.68	5607.43	5951.97	5850.46	7581.95	5652.03	6866.64	6023.16	6534.01	7012.37	5408.76	5970.93	5106.98	6532.34	6289.61	5924.49	6662.75	5959.25
P38159	P38159	RBMX_HUMAN	RBMX	RNA-binding motif protein, X chromosome	11128.9	11495.7	11295	10909.9	11088.3	8832.41	10499.6	10018.9	9880.02	7774.35	6340.72	13311.7	11014	8660.77	9625	4886.56	7562.89	9924.98	8183.51	8436.38	5200.08	6481.4	7592.91	8134.68	9051.94	8645.8	6821.62	7992.62	8175.91	6793.11	7625.66	7496.24	7662.62	6211.08	6146.39	5974.79	7146.96	6094.8	7054.85	6259.63	5061.1	6329.46	5896.74	7141.06
P38432	P38432	COIL_HUMAN	COIL	Coilin	1328.33	1309.32	2022.7	1155.91	1037.74	2138.63	1879.47	1073.86	1083.3	974.168		801.322	1122.43	1833.06	1217.61	2889.56	1199.88	1590.72	1346.23	1361.21	1137.25	1496.61	1131.32	2329.63	3027.86	2309.48	2435.97	2861.24	2437.55	2794.82	2473.02	2590.69	2996.35	2442.85	2122.59	2354	2397.13	2224.79	2691.41	2861.7	2383.8	2375.8	2276.83	2788.42
P38606	P38606	VATA_HUMAN	ATP6V1A	V-type proton ATPase catalytic subunit A	2048.05	2995.52	2129.59	2285.18	2152.45	2557.14	4737.45	2502.13	2231.11	4598.21	4955.46	2347.9	3828.07	2599.16	1548.44	3149.77	2302.49	2706.56	1831.28	2462.2	6085.23	2652.35	1906.55	3169.65		2957.65	3384.84	2930.11	3557.62	3416.23	4691.1	3511.7	4380.34	4165.58	3701.95	4262	3422.69	3644.44	3949.26	3652.95	3500.52	3713.26	3581.43	3446.13
P38646	P38646	GRP75_HUMAN	HSPA9	Stress-70 protein, mitochondrial	3325.94	3732.78	2847.25	2870.96	2909.59	8808.59	2668.07	3876.18	2677.94	3269.58		4209.49	17268.2	3032.05	3211.31	6946.38	4582.73	3021.23	2891.9	3064.78	3382.37	6726.64	2745.81	4286.96	3641.68	3830.47	8078.88	3281.59	3995.92	4183.16	9104.43	3661.43	6624.73	3899.79	6254.98	8002.33	4155.59	4399.31	4930.04	5304.15	5738.13	3890.76	3027.29	4026.7
P38919	P38919	IF4A3_HUMAN	EIF4A3	Eukaryotic initiation factor 4A-III	13355.5	14380	13749	14656.3	14676.1	15106.9	15008.1	14842.8	14677.8	8839.81	15657.2	10652.9	11000.9	15966	11861.6	7231.83	14141.6	13878.3	14972.9	15841.4	7322.79	14701.2	18717.2	13943.7	14479.3	14911.1	13201.8	15651.9	14483.2	14406.7	15226.8	14959.1	14294.6	13613.7	14472.8	13082.5	14458.4	14132.3	13448.7	15046.7	10790.2	13202.9	9477.52	13432.1
P39019	P39019	RS19_HUMAN	RPS19	40S ribosomal protein S19	95110.9	92853	93289	93853.9	93425	90581.1	92954.3	92277.2	88052.9	88882.5	36156.3	95327.6	107894	81240.7	95688.5	76670.6	75801.8	70560.6	71731.2	72477.3	71556.3	65224.7	64454.6	66129.5	68144.5	64528.3	63412.5	57073.4	59706.2	60466.4	53347	54690.5	49688.9	54016.1	48594.4	49967.4	47307.7	46818	43759.5	41062.5	35724	44130	37575.9	52006.5
P39023	P39023	RL3_HUMAN	RPL3	60S ribosomal protein L3	7399.05	8208.53	7873.36	8146.27	7850.92	7875.43	7823.58	7366.73	8238.61	6831.99	5693.03	7513.8	6880.7	8321.49	7182.33	8021.84	6977.66	8197.39	7451.21	8296.51	6534.41	8606.92	7244.78	8063.37	7714.96	8080.55	7533.19	7242.92	8116.43	7016.08	7948.5	7646.46	6948.52	7538.56	6727.11	9032.83	8229.6	7696.45	8325.73	7046.02	8388.74	6909.65	7512.8	7323.49
P39656	P39656	OST48_HUMAN	DDOST	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit	1142.82	1414.44	930.058	1605.47	1060.45	2697.2	3121.46	1878.85	941.195	1589.29		1751.06	5643.41	1179.82	763.14	2277.32	1956.06	581.459	1353.27	790.585	1362.22	2606.93	777.008	1055.68	1487.37	1530.76	2453.66	1787.19	1569.94	2328.92	2855.73	1764.9	2673.05	1510.8	1992.45	2831.99	1722.74	1777.92	2571.69	1746.45	3029.08	1578.51	1846.95	2137.24
P39687	P39687	AN32A_HUMAN	ANP32A	Acidic leucine-rich nuclear phosphoprotein 32 family member A	3705.2	5404.18	3716.99	5432.2	5641.57	2148.94	4380.22	3440.74	4209.31			4949.96	2112.87	4879.36	2610.02		3826.82	4504.29	5337.75	5370.69		3960.51	3380.79	4590.47	4621.84	4247.14	3750.26	5183	4019.28	3741.24	3421.33	4883.54	2446.26	4474.15	4004.21	3675.27	5464.62	3290.24	5392.79	4412.66	3927.16	4952.14		
P39748	P39748	FEN1_HUMAN	FEN1	Flap endonuclease 1	38160.4	34817	36690.8	38314.4	36854.6	30484.1	32561.4	36211.1	39091.8	46643.1	36822.7	37922.5	36949.1	33816.8	42111.7	29598.8	35206.9	36402.8	38943.9	39690.4	38047	35802.2	32087.9	28672.2	26921.8	24864.4	28770.2	18528.7	29913.3	27843.9	22315.1	25881.9	16493.3	28773.5	24838.6	23040.6	26927	26095.2	25077	18898	22753.8	26915.6	25500.3	17349.6
P40121	P40121	CAPG_HUMAN	CAPG	Macrophage-capping protein	193.938						818.256							222.749						171.205			191.437																					
P40123	P40123	CAP2_HUMAN	CAP2	Adenylyl cyclase-associated protein 2	1762.17	1702.35	2240.4	1689.13	1962.28	2181.2	2367.91	1606.91	2054.76	1512.94		2108.28	2499.84	1422.37	1726.51	1295.54	1409.81	1984.88	1252.33	1981.9	2601.5	1758.44	1402.47	3044.4	3197.1	2817.07	3247.86	2764.31	3075.66	3046.45	3096.78	3018.84	3020.92	3614.24	3099.73	3146.84	3763.9	3196.72	3626.51	3394.25	4823.34	3629.75	4964.61	3343.67
P40222	P40222	TXLNA_HUMAN	TXLNA	Alpha-taxilin	4003.01	4206.17	3750.46	3875.71	4115.29	4114.52	3904.78	3821.69	4419.01	3161.95	9461.8	2931.98	4100.72	5029.36	3810.78	4602.53	4583.26	4767.28	4474.26	4027.47	3730.87	4552.38	4464.76	5102.54	5182.66	6462.47	6182.95	5544.53	5357.96	5771.4	5569.28	4718.46	6699.41	5176.54	5137.23	6387.07	5651.73	4708.47	4894.69	6280.54	5401.72	5167.78	6630.89	6671.94
P40227	P40227	TCPZ_HUMAN	CCT6A	T-complex protein 1 subunit zeta	13500	14603.8	15247	13980.5	14307.5	12688.2	13976.3	13934.3	14241.2	14314.1	12585.2	12597.8	11659.9	13426.9	13498.6	11913.7	13741.2	13524.9	13242.7	13738.1	14480.4	14336.8	14077.7	10299.9	10863.3	10754.4	11420.8	11221.1	11357.1	11963.9	10673	11579.4	9137.39	11763.8	10730.8	10382	11186.2	11730	13402.6	9985.54	7776.03	11239.5	11371.2	10860.1
P40424	P40424;P40425	PBX1_HUMAN	PBX1	Pre-B-cell leukemia transcription factor 1		567.711	437.207	343.679	612.682	398.689	1071.61	406.083	831.155	363.746				273.068	334.429		661.831	467.981	570.118	891.482		355.094	1044.33	1512.65	1533.22		1816.67	1593.3		1535	1889.54	1500.73		1550.79	1683.3		1819.26	1803.79	1600.09				1582.09	2050.22
P40425	P40425	PBX2_HUMAN	PBX2	Pre-B-cell leukemia transcription factor 2	357.123	407.548	495.473	513.547	602.982		1089	376.2	921.997					596.163		665.023		736.476		674.878		372.793	736.45																					
P40429	P40429;Q6NVV1	RL13A_HUMAN	RPL13A	60S ribosomal protein L13a	5075.53	4624.35	4930.48	5455.19	4672.92	5409.94	4575.52	4714.06	4357.66	5137.23	2658.92	3718.77	4901.7	6016.19	5100.97	5645.43	4992.37	6457.37	6771.03	6840.25	6508.86	5828.55	6105.59	7015.54	6435.37	6794.63	6215.2	6806.72	7625.64	6571.08	6959.35	6541.42	6226.57	7893.84	6761.52	7093.68	6381.1	7707.21	6768.07	6244.01	7567.41	6367.58	6533.75	6294.4
P40616	P40616	ARL1_HUMAN	ARL1	ADP-ribosylation factor-like protein 1	885.616	2034.01	722.053	1082.43	1417.3	1660.78	1662.69	771.291	679.909	999.922		545.666	1681.89	1344.19	1072.87	1173.68	1198.18	1200.36	1601.25	1030.76	291.453	1084.15	715.018	5143.51	707.992					6392.11										3958.91				
P40692	P40692	MLH1_HUMAN	MLH1	DNA mismatch repair protein Mlh1	2941.55	2648.85	3718.6	2894.49	3883.09	3451.61	2664.86	3371.06	2813.95	4821.99	7006.5	2595.19	2642.74	3528.05	3455.12	4969.95	3273.7	4236.42	4868.94	4063.4	4608.84	4257.75	3625.85	5129.06	5220.98	5136.85	5722.14	5034.36	4885.45	5115.61	5054.81	4723.65	5032.53	4444.21	4841.86	5273.56	4822.07	4715.88	4468.2	4162.22	4902.8	5110.89	5983.83	4553.65
P40763	P40763	STAT3_HUMAN	STAT3	Signal transducer and activator of transcription 3	1457.33	1711.03	1258.65	1673.32	1546.29	1477.22	2977.86	1938.97	1791.02	2009.37	4690.92	1120.88	1691.25	1134.63	1557.52	1825.85	1555.85	1478.58	1601.02	2089.48	1862.41	1668.73	1586.18	2788.65		4293.73	3340.39	2714.38		3602.32	3157.97	3105.59	3312.74	2977.96	2790.99	3589.16	3116.2	3319.22		2972.69		2591.43	3769.09	3503.78
P40818	P40818	UBP8_HUMAN	USP8	Ubiquitin carboxyl-terminal hydrolase 8	2966.43	2709.24	3046.62	3536.76	2002.6	2870.8	2642.08	2717.95	2594.35	2463.96	2318.91	4379.08	3378.78	2533.03	4241.48	3420.41	2637.58	2778.9	3115.18	3236.76	3187.69	2888.89	2224.22	4108.13	5466.25	4681.54	4548.75	4195.26	4611.11	4684.78	4537.97	4437.78	4327.56	4167.79	4476.84	4094.27	4386.41	4044.71	4439.72	4803.71	5484.62	4428.73	4482	4004.99
P40925	P40925	MDHC_HUMAN	MDH1	Malate dehydrogenase, cytoplasmic	5188.87	5175.86	3461.76	4167.46	5119.65	4788.31	6936.76	5899.97	5541.83	4900.42		5998.8	3430.84	5404.18	5262.49	4867.27	5363.41	6485.33	5982.21	6279.6	4523.79	5540.03	6460.75	6820.95	6293.25	6960.71	6154	5630.49	6860.66	6894.32	7074.34	6854.02	5404.66	7231.98	5674.07	7231.37	7915.22	6789.45	9444.83	6087.21	7654.78	8024.67	6422.58	6868.38
P40926	P40926	MDHM_HUMAN	MDH2	Malate dehydrogenase, mitochondrial	19866.9	19874.6	19112.1	21606.4	20794.5	36288.9	19162.5	22303.5	20649.3	17026.9	14504.3	17532.9	42178.1	21657.4	14872.8	15293.9	25984.3	23689.9	22109.8	23179.2	17027.4	35930.3	23261.4	18717.3	17058.6	17788.5	24839.1	16689.2	17583.8	16469.8	28627.3	16962	16371.6	16605.5	22679.5	21680.9	16961.2	17321.7	16767.8	21006	15909.8	17672.5	11534.9	18872.5
P40937	P40937	RFC5_HUMAN	RFC5	Replication factor C subunit 5	5383.41	5377.98	6020.42	5643.18	5444.69	5054.46	4915.48	5413.53	5275.32	5081.79	10290.3	4361.52	4516.85	6654.8	5019.07	5338.79	6166.39	6519.31	6490.43	6472	5600.18	6994.96	7301.78	6154.76	6580.88	6596.97	6904.57	6650.36	6814	6910.97	6606.11	6964.81	6345.05	7299.75	7511.66	8024.97	7352.09	7548.69	7233.67	7151.41	6812.2	7041.37	6869.08	6784.61
