Intensity Apols_1	Intensity Apols_2	Intensity Apols_3	Intensity Apols_4	C: Only identified by site	C: Reverse	C: Potential contaminant	N: Peptides	N: Razor + unique peptides	N: Unique peptides	N: Sequence coverage [%]	N: Unique + razor sequence coverage [%]	N: Unique sequence coverage [%]	N: Mol. weight [kDa]	N: Q-value	N: Score	N: Intensity	N: MS/MS count	T: Protein IDs	T: Majority protein IDs
25,8381	25,5202	24,0373	26,142				15	15	15	49,6	49,6	49,6	38,604	0	323,31	228960000	59	sp|P07355|ANXA2_HUMAN;sp|A6NMY6|AXA2L_HUMAN	sp|P07355|ANXA2_HUMAN;sp|A6NMY6|AXA2L_HUMAN
23,7885	23,1822	NaN	22,9025				8	8	4	23	23	13,3	49,67	0	209,02	34808000	22	sp|P07437|TBB5_HUMAN;sp|Q9BVA1|TBB2B_HUMAN;sp|Q13885|TBB2A_HUMAN;sp|Q13509|TBB3_HUMAN	sp|P07437|TBB5_HUMAN;sp|Q9BVA1|TBB2B_HUMAN;sp|Q13885|TBB2A_HUMAN;sp|Q13509|TBB3_HUMAN
22,8508	21,1635	NaN	22,517				3	3	3	31,4	31,4	31,4	15,054	0	20,287	18543000	9	sp|P07737|PROF1_HUMAN	sp|P07737|PROF1_HUMAN
NaN	NaN	NaN	19,6344				7	2	2	13,5	4,1	4,1	84,659	0	15,843	813850	2	sp|P07900|HS90A_HUMAN	sp|P07900|HS90A_HUMAN
22,3805	20,7229	NaN	NaN				3	3	3	12,7	12,7	12,7	33,67	0	20,3	7190800	6	sp|P07910|HNRPC_HUMAN;sp|P0DMR1|HNRC4_HUMAN;sp|O60812|HNRC1_HUMAN;sp|B7ZW38|HNRC3_HUMAN;sp|B2RXH8|HNRC2_HUMAN	sp|P07910|HNRPC_HUMAN
22,857	21,6509	NaN	21,3876				9	9	4	17,5	17,5	8	83,263	0	145,05	13633000	17	sp|P08238|HS90B_HUMAN;sp|Q14568|HS902_HUMAN;sp|Q58FF7|H90B3_HUMAN;sp|Q58FG0|HS905_HUMAN;sp|Q58FF8|H90B2_HUMAN;sp|Q58FG1|HS904_HUMAN;sp|Q58FF6|H90B4_HUMAN	sp|P08238|HS90B_HUMAN
NaN	NaN	NaN	23,7254				2	2	2	6,4	6,4	6,4	28,518	0	13,191	13869000	2	sp|P08246|ELNE_HUMAN	sp|P08246|ELNE_HUMAN
NaN	NaN	NaN	22,5559				2	2	2	8,6	8,6	8,6	28,837	0	12,065	6166100	2	sp|P08311|CATG_HUMAN	sp|P08311|CATG_HUMAN
23,4403	21,7866	NaN	24,1515				9	7	6	23,4	20,2	18,2	53,651	0	119,49	45647000	17	sp|P08670|VIME_HUMAN;sp|P17661|DESM_HUMAN;sp|P41219|PERI_HUMAN	sp|P08670|VIME_HUMAN
20,9291	20,4847	NaN	21,1377				1	1	1	5	5	5	35,936	0	45,369	5771000	5	sp|P08758|ANXA5_HUMAN	sp|P08758|ANXA5_HUMAN
22,7704	20,9356	NaN	22,063				5	5	5	38,6	38,6	38,6	23,356	0	39,395	13542000	10	sp|P09211|GSTP1_HUMAN	sp|P09211|GSTP1_HUMAN
20,5812	20,6799	NaN	20,6925				2	2	2	10	10	10	35,882	0	23,509	4943200	3	sp|P09525|ANXA4_HUMAN	sp|P09525|ANXA4_HUMAN
22,4468	21,5462	NaN	20,2087				1	1	1	5	5	5	34,225	0	9,8393	9991100	3	sp|Q32P51|RA1L2_HUMAN;sp|P09651|ROA1_HUMAN	sp|Q32P51|RA1L2_HUMAN;sp|P09651|ROA1_HUMAN
19,328	NaN	NaN	20,2281				1	1	1	3,9	3,9	3,9	37,393	0	14,668	1886300	3	sp|P09668|CATH_HUMAN	sp|P09668|CATH_HUMAN
25,1098	24,4964	NaN	25,6475				4	4	4	36,7	36,7	36,7	14,728	0	310,21	121160000	10	sp|P62987|RL40_HUMAN;sp|P62979|RS27A_HUMAN;sp|P0CG47|UBB_HUMAN;sp|P0CG48|UBC_HUMAN	sp|P62987|RL40_HUMAN;sp|P62979|RS27A_HUMAN;sp|P0CG47|UBB_HUMAN;sp|P0CG48|UBC_HUMAN
NaN	NaN	NaN	21,1733				3	2	1	8,8	6,6	3,3	48,934	0	19,781	2364800	2	sp|P0DOX2|IGA2_HUMAN	sp|P0DOX2|IGA2_HUMAN
20,0263	20,4729	NaN	22,7296				3	3	3	37,7	37,7	37,7	11,265	0	73,893	9823400	7	sp|P0DOY3|IGLC3_HUMAN;sp|P0DOY2|IGLC2_HUMAN;sp|P0CG04|IGLC1_HUMAN;sp|P0CF74|IGLC6_HUMAN;sp|B9A064|IGLL5_HUMAN;sp|P0DOX8|IGL1_HUMAN;sp|A0M8Q6|IGLC7_HUMAN	sp|P0DOY3|IGLC3_HUMAN;sp|P0DOY2|IGLC2_HUMAN;sp|P0CG04|IGLC1_HUMAN;sp|P0CF74|IGLC6_HUMAN;sp|B9A064|IGLL5_HUMAN;sp|P0DOX8|IGL1_HUMAN
21,6145	21,3315	NaN	22,0386				3	3	3	30,9	30,9	30,9	16,837	0	28,28	10158000	8	sp|P0DP25|CALM3_HUMAN;sp|P0DP24|CALM2_HUMAN;sp|P0DP23|CALM1_HUMAN	sp|P0DP25|CALM3_HUMAN;sp|P0DP24|CALM2_HUMAN;sp|P0DP23|CALM1_HUMAN
19,0988	NaN	19,5321	23,8889				6	6	6	18,6	18,6	18,6	57,767	0	143,91	17039000	14	sp|P0DUB6|AMY1A_HUMAN;sp|P0DTE8|AMY1C_HUMAN;sp|P0DTE7|AMY1B_HUMAN;sp|P19961|AMY2B_HUMAN;sp|P04746|AMYP_HUMAN;CON__Q3MHH8	sp|P0DUB6|AMY1A_HUMAN;sp|P0DTE8|AMY1C_HUMAN;sp|P0DTE7|AMY1B_HUMAN;sp|P19961|AMY2B_HUMAN;sp|P04746|AMYP_HUMAN
23,4564	22,4672	16,2828	23,7144				4	4	4	19	19	19	11,737	0	36,024	35733000	6	sp|P10599|THIO_HUMAN	sp|P10599|THIO_HUMAN
21,6905	21,0072	NaN	NaN				7	7	7	18	18	18	61,054	0	175,5	5492100	9	sp|P10809|CH60_HUMAN	sp|P10809|CH60_HUMAN
22,6632	22,3523	20,5852	23,3419				9	9	8	20,2	20,2	17,7	72,332	0	114,99	24201000	22	sp|P11021|BIP_HUMAN	sp|P11021|BIP_HUMAN
23,2269	22,2067	NaN	23,6318				9	8	7	20,3	20,3	18,3	70,897	0	56,503	27656000	19	sp|P11142|HSP7C_HUMAN;sp|P54652|HSP72_HUMAN	sp|P11142|HSP7C_HUMAN;sp|P54652|HSP72_HUMAN
22,708	19,5815	NaN	NaN				4	4	4	10,7	10,7	10,7	59,256	0	28,882	7635900	8	sp|P11413|G6PD_HUMAN	sp|P11413|G6PD_HUMAN
22,3357	NaN	NaN	NaN			+	20	4	3	25,8	12,1	10,5	64,416	0	25,389	5293300	4	sp|P12035|K2C3_HUMAN;CON__P12035	sp|P12035|K2C3_HUMAN;CON__P12035
22,0387	22,2	NaN	24,5343				3	3	3	15,1	15,1	15,1	16,572	0	19,2	58044000	4	sp|P12273|PIP_HUMAN	sp|P12273|PIP_HUMAN
NaN	NaN	NaN	19,9738				2	2	2	7,4	7,4	7,4	36,375	0	12,765	1029700	2	sp|P12429|ANXA3_HUMAN	sp|P12429|ANXA3_HUMAN
NaN	NaN	NaN	20,7662				1	1	1	7,5	7,5	7,5	18,385	0,0091463	6,3183	1783400	1	sp|P12724|ECP_HUMAN	sp|P12724|ECP_HUMAN
18,9459	NaN	NaN	NaN				3	3	3	7,4	7,4	7,4	69,842	0	17,361	504990	3	sp|P12956|XRCC6_HUMAN	sp|P12956|XRCC6_HUMAN
21,2545	18,475	NaN	22,1529				6	6	6	10,7	10,7	10,7	95,337	0	66,556	7529400	12	sp|P13639|EF2_HUMAN;sp|Q15029|U5S1_HUMAN	sp|P13639|EF2_HUMAN
20,2698	NaN	NaN	NaN				1	1	1	1,9	1,9	1,9	72,932	0,0088235	6,1373	1264200	2	sp|P13667|PDIA4_HUMAN	sp|P13667|PDIA4_HUMAN
24,743	24,1792	NaN	24,2775				10	10	10	28,8	28,8	28,8	57,936	0	161,37	72393000	36	sp|P14618|KPYM_HUMAN	sp|P14618|KPYM_HUMAN
21,329	20,4623	NaN	NaN				2	2	2	4,4	4,4	4,4	92,468	0	23,232	4079100	2	sp|P14625|ENPL_HUMAN	sp|P14625|ENPL_HUMAN
25,9473	25,6836	24,1755	26,6339				23	23	23	35	35	35	81,744	0	323,31	248200000	65	sp|P14923|PLAK_HUMAN	sp|P14923|PLAK_HUMAN
NaN	NaN	17,2097	NaN				1	1	1	2,7	2,7	2,7	42,064	0	7,1429	302510	3	sp|P15104|GLNA_HUMAN	sp|P15104|GLNA_HUMAN
21,4505	19,4379	NaN	NaN				3	3	3	15	15	15	31,324	0	38,852	3575900	5	sp|P15880|RS2_HUMAN	sp|P15880|RS2_HUMAN
27,6369	27,4581	25,7845	27,9649				76	76	76	28,3	28,3	28,3	331,77	0	323,31	754300000	210	sp|P15924|DESP_HUMAN	sp|P15924|DESP_HUMAN
21,9195	20,3536	NaN	22,0874				4	3	2	8,7	6,7	4,2	71,027	0	22,91	10463000	9	sp|P17066|HSP76_HUMAN;sp|P48741|HSP77_HUMAN;sp|P0DMV9|HS71B_HUMAN;sp|P0DMV8|HS71A_HUMAN	sp|P17066|HSP76_HUMAN;sp|P48741|HSP77_HUMAN;sp|P0DMV9|HS71B_HUMAN;sp|P0DMV8|HS71A_HUMAN
NaN	NaN	20,0242	19,5411				2	2	2	16,1	16,1	16,1	20,838	0	12,759	1829200	2	sp|P17900|SAP3_HUMAN	sp|P17900|SAP3_HUMAN
19,6271	NaN	NaN	20,7666				2	2	2	2,2	2,2	2,2	123,8	0	37,344	2593700	2	sp|P18206|VINC_HUMAN	sp|P18206|VINC_HUMAN
NaN	NaN	NaN	20,8924				2	2	2	9	9	9	20,055	0	17,679	1946400	2	sp|P18510|IL1RA_HUMAN	sp|P18510|IL1RA_HUMAN
22,5272	NaN	NaN	NaN				3	3	3	6,9	6,9	6,9	76,613	0	30,959	6044500	5	sp|P19338|NUCL_HUMAN	sp|P19338|NUCL_HUMAN
19,3314	NaN	NaN	NaN				4	3	3	2,5	2,1	2,1	280,74	0	17,921	659660	3	sp|P21333|FLNA_HUMAN;sp|Q14315|FLNC_HUMAN	sp|P21333|FLNA_HUMAN
NaN	NaN	NaN	19,5256				1	1	1	1,7	1,7	1,7	77,328	0,0032362	6,5681	754750	1	sp|P21980|TGM2_HUMAN	sp|P21980|TGM2_HUMAN
21,4715	NaN	NaN	NaN				1	1	1	4,5	4,5	4,5	37,429	0	7,1452	2907800	1	sp|P22626|ROA2_HUMAN	sp|P22626|ROA2_HUMAN
22,7308	23,5591	19,4965	24,4983				11	11	11	16,8	16,8	16,8	89,786	0	214,27	45163000	25	sp|P22735|TGM1_HUMAN	sp|P22735|TGM1_HUMAN
22,4345	21,8172	NaN	21,5329				3	3	3	27,7	27,7	27,7	18,502	0	28,611	14483000	10	sp|P23528|COF1_HUMAN	sp|P23528|COF1_HUMAN
NaN	19,0111	NaN	NaN				1	1	1	6,7	6,7	6,7	24,763	0	9,0055	528320	2	sp|P24534|EF1B_HUMAN	sp|P24534|EF1B_HUMAN
24,4561	24,844	23,5772	25,6942				10	10	10	46	46	46	34,258	0	124,32	155800000	29	sp|P25311|ZA2G_HUMAN	sp|P25311|ZA2G_HUMAN
21,6139	20,9733	NaN	NaN				1	1	1	16,7	16,7	16,7	14,515	0	36,108	5268100	5	sp|P25398|RS12_HUMAN	sp|P25398|RS12_HUMAN
19,8283	NaN	NaN	20,0531				1	1	1	9	9	9	25,898	0,0089552	6,1792	2018800	2	sp|P25787|PSA2_HUMAN	sp|P25787|PSA2_HUMAN
19,4583	20,0265	NaN	20,2123				2	2	2	12,2	12,2	12,2	28,433	0	48,681	3003200	6	sp|P25788|PSA3_HUMAN	sp|P25788|PSA3_HUMAN
19,6019	NaN	NaN	20,1348				1	1	1	3,8	3,8	3,8	29,483	0	8,9155	1947000	4	sp|P25789|PSA4_HUMAN	sp|P25789|PSA4_HUMAN
NaN	18,7914	18,4871	NaN				1	1	1	13,7	13,7	13,7	10,4	0,0062305	6,3641	821160	1	sp|P25815|S100P_HUMAN	sp|P25815|S100P_HUMAN
19,7949	NaN	NaN	NaN				1	1	1	10,6	10,6	10,6	15,649	0	6,9816	909590	1	sp|P26885|FKBP2_HUMAN	sp|P26885|FKBP2_HUMAN
18,5727	NaN	18,969	18,4933				3	2	2	17,6	13,5	13,5	27,764	0	15,005	1272100	4	sp|P27348|1433T_HUMAN	sp|P27348|1433T_HUMAN
19,7958	NaN	NaN	21,5541				4	4	4	37,6	37,6	37,6	16,891	0	40,409	3989300	8	sp|P27482|CALL3_HUMAN	sp|P27482|CALL3_HUMAN
19,9139	NaN	NaN	NaN				1	1	1	3,4	3,4	3,4	48,141	0	8,3051	987810	2	sp|P27797|CALR_HUMAN	sp|P27797|CALR_HUMAN
21,712	NaN	NaN	20,6221				2	2	2	12,9	12,9	12,9	26,411	0	83,726	5049300	2	sp|P28066|PSA5_HUMAN	sp|P28066|PSA5_HUMAN
19,7857	NaN	NaN	NaN				3	3	3	23,5	23,5	23,5	29,204	0	24,245	903860	4	sp|P28070|PSB4_HUMAN	sp|P28070|PSB4_HUMAN
20,1515	20,6573	20,0274	21,5727				1	1	1	4,6	4,6	4,6	25,357	0	8,6324	7006000	4	sp|P28072|PSB6_HUMAN	sp|P28072|PSB6_HUMAN
19,2264	20,3533	NaN	18,85				4	4	4	23,6	23,6	23,6	28,48	0	38,143	2425400	4	sp|P28074|PSB5_HUMAN	sp|P28074|PSB5_HUMAN
23,1011	21,1682	NaN	22,159				4	4	4	12,5	12,5	12,5	67,877	0	81,011	16037000	11	sp|P29401|TKT_HUMAN	sp|P29401|TKT_HUMAN
23,6772	23,1469	22,0528	24,8837				10	10	5	32,3	32,3	20,5	44,564	0	158,7	60929000	30	sp|P29508|SPB3_HUMAN	sp|P29508|SPB3_HUMAN
19,0724	NaN	NaN	NaN				2	2	2	14,3	14,3	14,3	25,035	0	33,565	551280	3	sp|P30041|PRDX6_HUMAN	sp|P30041|PRDX6_HUMAN
20,7393	NaN	NaN	NaN				1	1	1	7,3	7,3	7,3	22,119	0	7,0762	1750400	1	sp|P30043|BLVRB_HUMAN	sp|P30043|BLVRB_HUMAN
21,0957	19,6011	NaN	NaN				1	1	1	5,5	5,5	5,5	27,692	0	6,9127	3036200	1	sp|P30048|PRDX3_HUMAN	sp|P30048|PRDX3_HUMAN
20,1551	NaN	NaN	NaN				1	1	1	9,1	9,1	9,1	17,818	0	7,7362	1167600	3	sp|P30050|RL12_HUMAN	sp|P30050|RL12_HUMAN
20,1412	19,7705	NaN	NaN				1	1	1	10,7	10,7	10,7	21,057	0	16,895	2050700	4	sp|P30086|PEBP1_HUMAN	sp|P30086|PEBP1_HUMAN
21,523	NaN	NaN	NaN				3	3	3	9,9	9,9	9,9	56,782	0	18,683	3013500	6	sp|P30101|PDIA3_HUMAN	sp|P30101|PDIA3_HUMAN
22,2238	20,8773	NaN	20,9621				2	2	2	6,8	6,8	6,8	50,394	0	73,562	9847900	6	sp|P30838|AL3A1_HUMAN	sp|P30838|AL3A1_HUMAN
23,1546	22,4977	NaN	24,6996				4	4	4	38,1	38,1	38,1	19,25	0	74,857	42572000	8	sp|P31025|LCN1_HUMAN;sp|Q5VSP4|LC1L1_HUMAN	sp|P31025|LCN1_HUMAN
22,6553	19,6595	NaN	22,7218				4	4	4	23,8	23,8	23,8	11,471	0	26,616	31118000	7	sp|P31151|S10A7_HUMAN;sp|Q86SG5|S1A7A_HUMAN	sp|P31151|S10A7_HUMAN
21,0935	20,1737	NaN	NaN				2	2	1	7,6	7,6	3,8	49,229	0	24,113	3420400	3	sp|P31943|HNRH1_HUMAN;sp|P55795|HNRH2_HUMAN	sp|P31943|HNRH1_HUMAN;sp|P55795|HNRH2_HUMAN
24,1158	24,6478	24,4668	25,2061				7	7	7	21,9	21,9	21,9	27,679	0	248,39	121220000	27	sp|P31944|CASPE_HUMAN	sp|P31944|CASPE_HUMAN
20,5765	NaN	20,7969	21,4483				3	2	2	12,9	8,9	8,9	27,774	0	13,992	6477700	5	sp|P31947|1433S_HUMAN;sp|Q04917|1433F_HUMAN;sp|P61981|1433G_HUMAN	sp|P31947|1433S_HUMAN
20,0577	20,1699	17,6367	22,4843				3	3	3	33,3	33,3	33,3	11,74	0	18,057	8342200	5	sp|P31949|S10AB_HUMAN	sp|P31949|S10AB_HUMAN
22,7929	22,6923	22,4125	23,6937				7	6	6	32,3	26,8	26,8	21,892	0	45,013	37189000	18	sp|P32119|PRDX2_HUMAN	sp|P32119|PRDX2_HUMAN
22,6274	NaN	21,6828	23,2424				1	1	1	4,3	4,3	4,3	32,528	0	53,694	113630000	5	sp|P35030|TRY3_HUMAN	sp|P35030|TRY3_HUMAN
32,4484	32,3788	30,8891	32,8595			+	43	42	42	69,8	69,8	69,8	62,064	0	323,31	24311000000	616	sp|P35527|K1C9_HUMAN;CON__P35527	sp|P35527|K1C9_HUMAN;CON__P35527
20,5957	19,3035	NaN	21,2118				6	6	5	4	4	3,4	226,53	0	112,94	4660400	9	sp|P35579|MYH9_HUMAN;sp|P35749|MYH11_HUMAN	sp|P35579|MYH9_HUMAN
18,8017	NaN	NaN	NaN				1	1	1	5,2	5,2	5,2	47,697	0,0086705	6,085	456960	1	sp|P36578|RL4_HUMAN	sp|P36578|RL4_HUMAN
19,6706	NaN	NaN	NaN				1	1	1	10,3	10,3	10,3	14,57	0	15,936	834510	3	sp|P37108|SRP14_HUMAN	sp|P37108|SRP14_HUMAN
19,4729	NaN	NaN	NaN				1	1	1	9	9	9	22,391	0,0032154	6,5213	727680	1	sp|P37802|TAGL2_HUMAN	sp|P37802|TAGL2_HUMAN
19,0286	NaN	NaN	19,6148				1	1	1	3,3	3,3	3,3	37,54	0	8,744	1337700	2	sp|P37837|TALDO_HUMAN	sp|P37837|TALDO_HUMAN
19,6758	NaN	NaN	NaN				1	1	1	3	3	3	58,024	0,0086455	6,0783	837550	1	sp|P40227|TCPZ_HUMAN	sp|P40227|TCPZ_HUMAN
21,4594	19,2689	NaN	20,4067				5	5	5	20,7	20,7	20,7	35,503	0	30,068	4905300	8	sp|P40926|MDHM_HUMAN	sp|P40926|MDHM_HUMAN
NaN	21,1267	NaN	NaN				2	2	2	1,3	1,3	1,3	175,72	0	11,176	4177800	2	sp|P41229|KDM5C_HUMAN;sp|Q9BY66|KDM5D_HUMAN	sp|P41229|KDM5C_HUMAN;sp|Q9BY66|KDM5D_HUMAN
23,3637	20,2272	NaN	NaN				3	2	2	15,2	9,3	9,3	36,853	0	13,127	12021000	3	sp|P42330|AK1C3_HUMAN	sp|P42330|AK1C3_HUMAN
21,3629	20,9551	20,0103	21,9706				4	4	4	7,6	7,6	7,6	72,697	0	105,27	9895600	6	sp|P42357|HUTH_HUMAN	sp|P42357|HUTH_HUMAN
19,5995	NaN	NaN	NaN				1	1	1	7,4	7,4	7,4	22,876	0,0061538	6,3315	794370	3	sp|P46782|RS5_HUMAN	sp|P46782|RS5_HUMAN
22,4027	22,1548	21,0468	24,2642				3	3	3	30,1	30,1	30,1	15,075	0	93,438	36128000	11	sp|P47929|LEG7_HUMAN	sp|P47929|LEG7_HUMAN
20,1188	NaN	NaN	NaN				2	2	2	3,5	3,5	3,5	64,149	0	10,804	1138600	2	sp|P48163|MAOX_HUMAN	sp|P48163|MAOX_HUMAN
20,2177	19,1354	NaN	NaN				2	2	2	6,1	6,1	6,1	59,67	0	11,454	1795300	3	sp|P48643|TCPE_HUMAN	sp|P48643|TCPE_HUMAN
NaN	NaN	NaN	19,2925				1	1	1	0,7	0,7	0,7	273,42	0,0084746	6,0099	642110	2	sp|P49327|FAS_HUMAN	sp|P49327|FAS_HUMAN
19,5498	NaN	NaN	20,6693				2	2	2	16,6	16,6	16,6	22,949	0	17,936	2435200	2	sp|P49720|PSB3_HUMAN	sp|P49720|PSB3_HUMAN
19,6299	20,2679	NaN	20,8046				1	1	1	6,3	6,3	6,3	27,524	0	6,6598	3905300	3	sp|P49862|KLK7_HUMAN	sp|P49862|KLK7_HUMAN
NaN	NaN	NaN	19,9843				1	1	1	4,7	4,7	4,7	19,301	0	6,7594	1037200	1	sp|P49913|CAMP_HUMAN	sp|P49913|CAMP_HUMAN
19,971	19,2515	NaN	19,9274				1	1	1	2,7	2,7	2,7	50,663	0	15,221	2648900	2	sp|P50395|GDIB_HUMAN	sp|P50395|GDIB_HUMAN
21,3025	20,3391	NaN	NaN				1	1	1	5,6	5,6	5,6	23,432	0	15,351	3912800	2	sp|P50914|RL14_HUMAN	sp|P50914|RL14_HUMAN
19,3353	NaN	NaN	20,2495				1	1	1	6,8	6,8	6,8	23,489	0,0032468	6,583	1908000	1	sp|P51149|RAB7A_HUMAN	sp|P51149|RAB7A_HUMAN
22,8417	21,9271	NaN	NaN				4	4	4	13,5	13,5	13,5	53,139	0	46,966	11505000	6	sp|P52209|6PGD_HUMAN	sp|P52209|6PGD_HUMAN
20,4681	18,8729	NaN	19,6484				2	1	1	8,2	4,1	4,1	45,671	0,0090909	6,3004	2752400	2	sp|P52597|HNRPF_HUMAN	sp|P52597|HNRPF_HUMAN
21,467	18,8814	NaN	20,015				4	4	4	5,8	5,8	5,8	120,84	0	31,197	4441200	7	sp|P53396|ACLY_HUMAN	sp|P53396|ACLY_HUMAN
20,7331	NaN	NaN	21,5073				2	2	2	13,9	13,9	13,9	26,599	0	11,783	4723900	3	sp|P56537|IF6_HUMAN	sp|P56537|IF6_HUMAN
NaN	NaN	NaN	21,1612				4	4	4	7,9	7,9	7,9	555,65	0	33,726	2345100	6	sp|P58107|EPIPL_HUMAN;sp|Q15149|PLEC_HUMAN	sp|P58107|EPIPL_HUMAN;sp|Q15149|PLEC_HUMAN
21,5225	20,5568	NaN	22,0075				5	5	5	31,3	31,3	31,3	26,669	0	33,23	8771200	11	sp|P60174|TPIS_HUMAN	sp|P60174|TPIS_HUMAN
25,9787	25,2702	22,7609	27,4339				18	18	8	60,3	60,3	37,1	41,736	0	191,81	349690000	58	sp|P60709|ACTB_HUMAN;sp|P63261|ACTG_HUMAN;sp|Q6S8J3|POTEE_HUMAN;sp|A5A3E0|POTEF_HUMAN;sp|Q562R1|ACTBL_HUMAN;sp|P0CG38|POTEI_HUMAN;sp|Q9BYX7|ACTBM_HUMAN;sp|P0CG39|POTEJ_HUMAN	sp|P60709|ACTB_HUMAN;sp|P63261|ACTG_HUMAN
21,7233	NaN	NaN	19,7857				3	3	3	10,3	10,3	10,3	46,153	0	82,726	4366100	3	sp|P60842|IF4A1_HUMAN;sp|Q14240|IF4A2_HUMAN	sp|P60842|IF4A1_HUMAN;sp|Q14240|IF4A2_HUMAN
20,9664	19,6341	NaN	NaN				1	1	1	9,7	9,7	9,7	18,506	0	7,9691	2862600	3	sp|P60981|DEST_HUMAN	sp|P60981|DEST_HUMAN
NaN	NaN	NaN	20,3956				1	1	1	5	5	5	47,371	0	8,4092	1379400	1	sp|P61158|ARP3_HUMAN	sp|P61158|ARP3_HUMAN
19,5256	NaN	NaN	NaN				1	1	1	7,7	7,7	7,7	20,697	0,0088757	6,1507	754750	2	sp|P84077|ARF1_HUMAN;sp|P61204|ARF3_HUMAN	sp|P84077|ARF1_HUMAN;sp|P61204|ARF3_HUMAN
23,8317	24,1704	22,6104	26,0131				3	3	3	19,6	19,6	19,6	16,537	0	147,47	134310000	11	sp|P61626|LYSC_HUMAN	sp|P61626|LYSC_HUMAN
22,3118	21,9827	NaN	NaN				3	3	3	9,3	9,3	9,3	50,976	0	19,053	9350400	6	sp|P61978|HNRPK_HUMAN	sp|P61978|HNRPK_HUMAN
19,6953	18,436	NaN	NaN				1	1	1	6,2	6,2	6,2	22,127	0,008596	6,0446	1203600	1	sp|P62081|RS7_HUMAN	sp|P62081|RS7_HUMAN
20,8266	NaN	NaN	21,5909				3	2	2	16,1	12,2	12,2	29,174	0	18,534	5018400	4	sp|P62258|1433E_HUMAN	sp|P62258|1433E_HUMAN
19,4352	NaN	NaN	NaN				1	1	1	9,9	9,9	9,9	17,222	0	6,6597	708900	3	sp|P62277|RS13_HUMAN	sp|P62277|RS13_HUMAN
19,3839	NaN	NaN	NaN				1	1	1	6	6	6	24,393	0,0082418	5,9513	684110	1	sp|P62491|RB11A_HUMAN;sp|Q15907|RB11B_HUMAN	sp|P62491|RB11A_HUMAN;sp|Q15907|RB11B_HUMAN
20,1593	19,9062	NaN	21,1085				12	2	2	32,2	9	9	41,876	0	11,471	4414400	3	sp|P63267|ACTH_HUMAN;sp|P68133|ACTS_HUMAN;sp|P68032|ACTC_HUMAN;sp|P62736|ACTA_HUMAN	sp|P63267|ACTH_HUMAN;sp|P68133|ACTS_HUMAN;sp|P68032|ACTC_HUMAN;sp|P62736|ACTA_HUMAN
20,9093	21,7201	NaN	23,1438				5	5	5	50,5	50,5	50,5	11,367	0	76,735	17508000	16	sp|P62805|H4_HUMAN	sp|P62805|H4_HUMAN
20,7773	19,3301	NaN	NaN				1	1	1	9	9	9	15,423	0,0091743	6,3215	2456300	2	sp|P62847|RS24_HUMAN	sp|P62847|RS24_HUMAN
21,4296	20,4348	NaN	NaN				1	1	1	5,5	5,5	5,5	24,831	0	71,022	4241800	4	sp|P62906|RL10A_HUMAN	sp|P62906|RL10A_HUMAN
23,1357	22,2022	NaN	21,282				4	4	4	22,4	22,4	22,4	18,012	0	67,841	16591000	12	sp|P62937|PPIA_HUMAN	sp|P62937|PPIA_HUMAN
22,8259	21,7433	20,7896	23,0375				6	6	5	29	29	24,9	27,745	0	90,769	21368000	18	sp|P63104|1433Z_HUMAN	sp|P63104|1433Z_HUMAN
20,2869	NaN	NaN	NaN				2	2	2	23,4	23,4	23,4	16,832	0	14,325	1279300	3	sp|P63241|IF5A1_HUMAN;sp|Q9GZV4|IF5A2_HUMAN;sp|Q6IS14|IF5AL_HUMAN	sp|P63241|IF5A1_HUMAN;sp|Q9GZV4|IF5A2_HUMAN;sp|Q6IS14|IF5AL_HUMAN
23,466	22,3434	NaN	22,4044				7	7	7	17,3	17,3	17,3	50,14	0	70,63	22460000	17	sp|P68104|EF1A1_HUMAN;sp|Q5VTE0|EF1A3_HUMAN;sp|Q05639|EF1A2_HUMAN	sp|P68104|EF1A1_HUMAN;sp|Q5VTE0|EF1A3_HUMAN;sp|Q05639|EF1A2_HUMAN
24,3213	22,5203	NaN	23,8627				8	8	1	27,4	27,4	3,1	49,895	0	199,98	57550000	27	sp|Q9BQE3|TBA1C_HUMAN;sp|P68363|TBA1B_HUMAN;sp|P68366|TBA4A_HUMAN;sp|Q9NY65|TBA8_HUMAN;sp|Q9H853|TBA4B_HUMAN	sp|Q9BQE3|TBA1C_HUMAN;sp|P68363|TBA1B_HUMAN;sp|P68366|TBA4A_HUMAN
18,8841	18,4961	NaN	NaN				5	1	1	12,4	2,7	2,7	49,83	0,0089021	6,156	853540	1	sp|P68371|TBB4B_HUMAN;sp|P04350|TBB4A_HUMAN;sp|Q9BUF5|TBB6_HUMAN;sp|Q3ZCM7|TBB8_HUMAN;sp|A6NNZ2|TBB8B_HUMAN;sp|Q9H4B7|TBB1_HUMAN;CON__ENSEMBL:ENSBTAP00000025008	sp|P68371|TBB4B_HUMAN
NaN	NaN	NaN	20,1335				1	1	1	8,1	8,1	8,1	15,388	0,0086957	6,103	1150200	0	sp|Q71DI3|H32_HUMAN;sp|Q16695|H31T_HUMAN;sp|P84243|H33_HUMAN;sp|P68431|H31_HUMAN	sp|Q71DI3|H32_HUMAN;sp|Q16695|H31T_HUMAN;sp|P84243|H33_HUMAN;sp|P68431|H31_HUMAN
